Size:1853	TN:1853	FP:0	Accuracy:100.0%
Least:1720	312	0.38
Most:1105	1081	0.67
Line_en	Line_zh	Similarity	Pair
	891	1365	0.61	NO
	1256	169	0.50	NO
	248	550	0.54	NO
	1611	717	0.52	NO
	1713	138	0.53	NO
	1773	645	0.52	NO
	179	88	0.50	NO
	30	1270	0.51	NO
	1762	568	0.51	NO
	521	1141	0.52	NO
	532	551	0.56	NO
	872	568	0.51	NO
	1788	636	0.59	NO
	1595	463	0.46	NO
	1786	392	0.45	NO
	486	1717	0.55	NO
	541	912	0.54	NO
	1576	1534	0.47	NO
	1233	1242	0.53	NO
	559	1326	0.53	NO
	583	939	0.50	NO
	1565	1462	0.51	NO
	1803	636	0.52	NO
	232	440	0.55	NO
	1615	1790	0.49	NO
	918	1757	0.55	NO
	1414	1206	0.57	NO
	182	906	0.58	NO
	1375	1310	0.49	NO
	608	1347	0.55	NO
	1239	338	0.55	NO
	11	520	0.55	NO
	797	1204	0.45	NO
	690	1414	0.55	NO
	1491	814	0.51	NO
	152	676	0.49	NO
	1080	17	0.49	NO
	312	1470	0.50	NO
	1723	1481	0.54	NO
	127	825	0.60	NO
	301	716	0.56	NO
	1631	987	0.53	NO
	842	1241	0.55	NO
	979	351	0.53	NO
	128	142	0.52	NO
	1659	751	0.42	NO
	1030	1200	0.46	NO
	630	1178	0.56	NO
	141	959	0.43	NO
	926	1781	0.54	NO
	7	831	0.59	NO
	873	20	0.51	NO
	1040	513	0.51	NO
	251	1000	0.51	NO
	982	708	0.54	NO
	1078	38	0.41	NO
	1345	1001	0.59	NO
	682	1631	0.55	NO
	73	401	0.43	NO
	1074	1840	0.57	NO
	1361	370	0.50	NO
	344	1307	0.51	NO
	1092	1518	0.50	NO
	1594	547	0.62	NO
	1138	134	0.59	NO
	1681	270	0.50	NO
	1252	1525	0.51	NO
	457	599	0.52	NO
	1162	59	0.49	NO
	53	483	0.55	NO
	1711	1036	0.42	NO
	946	1189	0.63	NO
	409	290	0.56	NO
	16	341	0.55	NO
	399	1528	0.50	NO
	1124	676	0.55	NO
	1483	188	0.41	NO
	1243	788	0.47	NO
	170	1613	0.52	NO
	774	1332	0.45	NO
	89	686	0.49	NO
	963	1195	0.51	NO
	1447	1355	0.57	NO
	281	1164	0.53	NO
	1080	741	0.46	NO
	6	326	0.45	NO
	514	834	0.48	NO
	137	1843	0.60	NO
	162	974	0.56	NO
	819	866	0.51	NO
	361	268	0.51	NO
	1709	1836	0.51	NO
	1488	1485	0.59	NO
	1205	734	0.52	NO
	367	1013	0.54	NO
	811	1495	0.65	NO
	937	555	0.52	NO
	894	363	0.54	NO
	1743	1364	0.57	NO
	412	1131	0.57	NO
	1849	272	0.58	NO
	1722	816	0.56	NO
	740	679	0.48	NO
	175	1699	0.52	NO
	287	96	0.66	NO
	1804	1105	0.51	NO
	1792	172	0.56	NO
	1792	1598	0.54	NO
	1007	192	0.55	NO
	1256	1470	0.56	NO
	654	9	0.45	NO
	804	297	0.49	NO
	326	69	0.45	NO
	899	1185	0.54	NO
	371	519	0.57	NO
	1335	84	0.54	NO
	1029	888	0.49	NO
	1115	677	0.59	NO
	837	913	0.51	NO
	401	292	0.47	NO
	1362	158	0.49	NO
	1660	1530	0.51	NO
	1815	985	0.47	NO
	1296	1274	0.57	NO
	334	1717	0.54	NO
	1287	109	0.59	NO
	1316	630	0.56	NO
	1065	67	0.61	NO
	794	230	0.47	NO
	1763	414	0.57	NO
	1359	1596	0.57	NO
	531	467	0.55	NO
	1324	288	0.61	NO
	250	1342	0.45	NO
	1129	223	0.57	NO
	1278	726	0.55	NO
	716	1369	0.51	NO
	853	547	0.52	NO
	236	1377	0.50	NO
	398	593	0.51	NO
	201	854	0.48	NO
	843	299	0.51	NO
	1494	247	0.47	NO
	943	155	0.50	NO
	1072	30	0.60	NO
	1330	1525	0.48	NO
	569	402	0.56	NO
	1781	474	0.58	NO
	1035	1229	0.53	NO
	1348	1521	0.52	NO
	1822	500	0.57	NO
	1242	1506	0.62	NO
	136	1457	0.50	NO
	480	1000	0.48	NO
	40	852	0.60	NO
	33	1321	0.55	NO
	574	1615	0.50	NO
	583	917	0.50	NO
	1390	739	0.48	NO
	1016	851	0.59	NO
	726	1172	0.56	NO
	909	230	0.47	NO
	123	114	0.51	NO
	869	741	0.50	NO
	1643	1312	0.50	NO
	229	486	0.52	NO
	1121	1230	0.45	NO
	1540	338	0.57	NO
	432	1052	0.46	NO
	953	640	0.54	NO
	1605	446	0.48	NO
	368	262	0.56	NO
	1468	126	0.56	NO
	905	755	0.49	NO
	1146	656	0.59	NO
	113	1588	0.52	NO
	356	357	0.46	NO
	441	1103	0.59	NO
	848	1107	0.51	NO
	1612	110	0.57	NO
	1119	433	0.64	NO
	549	620	0.54	NO
	1529	1796	0.55	NO
	608	520	0.54	NO
	765	160	0.58	NO
	497	316	0.50	NO
	188	52	0.49	NO
	1796	1568	0.55	NO
	1820	943	0.51	NO
	1325	36	0.55	NO
	1511	1823	0.49	NO
	559	64	0.59	NO
	1203	1792	0.54	NO
	244	1774	0.55	NO
	590	476	0.56	NO
	807	626	0.50	NO
	1499	1213	0.53	NO
	1262	153	0.53	NO
	530	621	0.57	NO
	347	534	0.54	NO
	1759	1219	0.50	NO
	1304	886	0.52	NO
	1504	1019	0.55	NO
	824	1622	0.56	NO
	621	863	0.57	NO
	1165	1735	0.50	NO
	1672	914	0.52	NO
	917	1608	0.59	NO
	387	681	0.61	NO
	1083	777	0.52	NO
	1105	1784	0.50	NO
	1025	992	0.59	NO
	790	734	0.48	NO
	174	511	0.51	NO
	1250	1791	0.59	NO
	1572	1678	0.59	NO
	1453	1488	0.55	NO
	534	1330	0.51	NO
	617	625	0.46	NO
	1271	119	0.50	NO
	717	1120	0.46	NO
	10	393	0.49	NO
	629	1250	0.58	NO
	483	686	0.52	NO
	462	142	0.59	NO
	1639	413	0.54	NO
	939	1452	0.49	NO
	1113	1544	0.50	NO
	1060	1473	0.47	NO
	23	1215	0.52	NO
	135	999	0.50	NO
	308	1227	0.55	NO
	478	384	0.54	NO
	36	1083	0.58	NO
	1266	1222	0.62	NO
	328	1101	0.58	NO
	381	1488	0.48	NO
	475	1346	0.60	NO
	1358	1812	0.48	NO
	1841	1017	0.44	NO
	98	680	0.54	NO
	385	1258	0.59	NO
	1662	1334	0.59	NO
	1338	1526	0.43	NO
	1277	1201	0.57	NO
	331	850	0.61	NO
	865	148	0.57	NO
	1259	1689	0.53	NO
	1066	599	0.61	NO
	109	1282	0.57	NO
	1039	1033	0.61	NO
	1810	119	0.51	NO
	285	1052	0.48	NO
	1282	417	0.58	NO
	1581	1509	0.54	NO
	1318	823	0.58	NO
	1038	1302	0.60	NO
	63	1138	0.58	NO
	1701	1537	0.62	NO
	607	320	0.47	NO
	932	47	0.54	NO
	908	303	0.51	NO
	1270	301	0.56	NO
	1782	1147	0.47	NO
	435	1598	0.55	NO
	148	404	0.56	NO
	55	977	0.54	NO
	608	567	0.51	NO
	269	1163	0.52	NO
	1313	1721	0.53	NO
	1001	31	0.59	NO
	117	1038	0.53	NO
	1621	834	0.51	NO
	55	1265	0.44	NO
	1174	642	0.40	NO
	513	931	0.53	NO
	1394	1062	0.59	NO
	472	397	0.49	NO
	630	1229	0.57	NO
	1391	1452	0.52	NO
	1753	1467	0.57	NO
	731	30	0.51	NO
	1208	1199	0.50	NO
	1246	1652	0.49	NO
	1742	499	0.52	NO
	478	1849	0.55	NO
	1768	1487	0.55	NO
	410	1254	0.44	NO
	195	767	0.59	NO
	1541	1289	0.47	NO
	1332	1709	0.45	NO
	651	1140	0.53	NO
	606	763	0.53	NO
	1804	1090	0.49	NO
	96	1557	0.54	NO
	342	1416	0.43	NO
	753	601	0.63	NO
	190	23	0.58	NO
	900	1580	0.52	NO
	341	295	0.56	NO
	1110	1193	0.58	NO
	1410	312	0.50	NO
	1841	1457	0.49	NO
	1719	1560	0.51	NO
	512	216	0.48	NO
	1195	1206	0.53	NO
	1761	479	0.53	NO
	284	1005	0.55	NO
	139	1272	0.45	NO
	85	713	0.55	NO
	1717	71	0.52	NO
	4	711	0.60	NO
	1229	518	0.50	NO
	431	38	0.55	NO
	1468	110	0.55	NO
	349	1234	0.54	NO
	959	1827	0.57	NO
	1437	500	0.59	NO
	1137	1139	0.47	NO
	1092	846	0.47	NO
	1155	838	0.52	NO
	1253	291	0.52	NO
	1143	579	0.60	NO
	1431	1238	0.52	NO
	203	182	0.60	NO
	1546	1705	0.48	NO
	1010	1498	0.62	NO
	345	554	0.57	NO
	1083	481	0.53	NO
	792	482	0.45	NO
	1157	20	0.56	NO
	1746	779	0.54	NO
	449	434	0.59	NO
	914	1665	0.60	NO
	1142	989	0.64	NO
	88	321	0.56	NO
	787	285	0.60	NO
	1763	370	0.59	NO
	688	352	0.57	NO
	36	1644	0.59	NO
	1557	864	0.53	NO
	387	1508	0.58	NO
	60	947	0.52	NO
	1253	1081	0.49	NO
	1285	743	0.51	NO
	1156	269	0.52	NO
	248	559	0.50	NO
	1168	205	0.58	NO
	1378	1288	0.41	NO
	1495	209	0.47	NO
	1809	1720	0.52	NO
	6	743	0.48	NO
	199	1801	0.54	NO
	1281	1306	0.57	NO
	163	1525	0.45	NO
	485	1025	0.52	NO
	621	879	0.54	NO
	299	132	0.55	NO
	160	1519	0.53	NO
	606	1592	0.46	NO
	735	878	0.52	NO
	1379	498	0.53	NO
	212	1802	0.56	NO
	1033	510	0.50	NO
	1309	85	0.52	NO
	1287	917	0.54	NO
	177	179	0.46	NO
	47	67	0.55	NO
	181	182	0.55	NO
	467	986	0.61	NO
	1016	689	0.54	NO
	1145	540	0.50	NO
	180	177	0.50	NO
	413	766	0.59	NO
	1568	10	0.59	NO
	1832	373	0.48	NO
	1401	346	0.59	NO
	326	394	0.54	NO
	570	113	0.56	NO
	1374	383	0.50	NO
	462	703	0.48	NO
	620	791	0.53	NO
	1011	765	0.56	NO
	892	1797	0.51	NO
	540	1330	0.61	NO
	921	724	0.53	NO
	1726	532	0.55	NO
	1827	1772	0.53	NO
	1700	1645	0.54	NO
	905	617	0.48	NO
	122	613	0.56	NO
	1366	1034	0.55	NO
	496	1363	0.49	NO
	558	147	0.59	NO
	1716	987	0.50	NO
	939	1717	0.50	NO
	1236	1754	0.50	NO
	1151	730	0.48	NO
	1313	1640	0.52	NO
	1367	957	0.51	NO
	387	1183	0.53	NO
	656	211	0.52	NO
	1222	900	0.51	NO
	83	1804	0.41	NO
	1623	193	0.51	NO
	873	506	0.54	NO
	724	663	0.53	NO
	1704	1484	0.63	NO
	335	969	0.54	NO
	184	958	0.56	NO
	1016	808	0.59	NO
	46	280	0.56	NO
	1029	1516	0.40	NO
	1263	301	0.48	NO
	1118	1400	0.50	NO
	782	728	0.56	NO
	730	50	0.40	NO
	1024	47	0.55	NO
	1767	1803	0.60	NO
	1459	1210	0.45	NO
	379	1317	0.54	NO
	1790	364	0.59	NO
	1069	1621	0.51	NO
	1788	854	0.60	NO
	1465	1301	0.51	NO
	294	345	0.54	NO
	1536	1171	0.59	NO
	571	1223	0.55	NO
	1095	930	0.58	NO
	641	1789	0.51	NO
	537	719	0.55	NO
	1831	1728	0.51	NO
	658	1267	0.45	NO
	1133	999	0.56	NO
	317	213	0.43	NO
	524	921	0.56	NO
	143	1181	0.49	NO
	763	1670	0.52	NO
	1139	1446	0.53	NO
	1268	352	0.52	NO
	1720	1477	0.54	NO
	227	1168	0.54	NO
	955	1718	0.55	NO
	643	249	0.55	NO
	699	962	0.54	NO
	197	1118	0.51	NO
	1450	944	0.48	NO
	769	897	0.48	NO
	1330	6	0.51	NO
	1819	1802	0.49	NO
	1508	1387	0.48	NO
	879	1241	0.46	NO
	1587	923	0.60	NO
	1429	1850	0.49	NO
	527	92	0.50	NO
	1207	348	0.55	NO
	301	1844	0.57	NO
	1754	819	0.51	NO
	1247	1388	0.58	NO
	734	1206	0.59	NO
	1518	425	0.49	NO
	952	1454	0.43	NO
	548	996	0.49	NO
	834	852	0.55	NO
	520	1825	0.53	NO
	1682	1551	0.57	NO
	1835	960	0.48	NO
	1496	1715	0.40	NO
	270	652	0.54	NO
	464	848	0.55	NO
	1451	677	0.54	NO
	874	960	0.53	NO
	1812	182	0.63	NO
	1292	274	0.50	NO
	1013	1578	0.54	NO
	516	723	0.59	NO
	347	313	0.55	NO
	862	984	0.49	NO
	1586	806	0.53	NO
	748	1117	0.57	NO
	579	65	0.62	NO
	227	588	0.53	NO
	1626	489	0.57	NO
	93	1395	0.54	NO
	1782	461	0.41	NO
	216	1404	0.54	NO
	1074	1144	0.52	NO
	1655	870	0.53	NO
	1474	943	0.48	NO
	1847	1154	0.52	NO
	1194	927	0.56	NO
	59	1574	0.57	NO
	633	1009	0.55	NO
	1247	1293	0.51	NO
	1389	709	0.57	NO
	1709	1532	0.56	NO
	105	1198	0.48	NO
	1650	604	0.48	NO
	1496	507	0.49	NO
	1097	74	0.47	NO
	564	131	0.57	NO
	757	1097	0.55	NO
	701	1260	0.54	NO
	1703	584	0.54	NO
	125	466	0.58	NO
	176	927	0.62	NO
	277	1673	0.50	NO
	204	239	0.55	NO
	319	68	0.60	NO
	908	1408	0.54	NO
	744	863	0.57	NO
	1657	621	0.56	NO
	1380	1029	0.51	NO
	303	1708	0.49	NO
	1724	749	0.58	NO
	1614	532	0.51	NO
	1039	622	0.63	NO
	1176	245	0.57	NO
	495	37	0.60	NO
	1677	163	0.49	NO
	1796	817	0.48	NO
	487	367	0.61	NO
	1226	1407	0.54	NO
	986	646	0.59	NO
	1368	1673	0.57	NO
	715	1852	0.53	NO
	974	240	0.55	NO
	1475	1104	0.65	NO
	254	1221	0.62	NO
	1136	1194	0.63	NO
	65	1482	0.56	NO
	1517	52	0.51	NO
	887	958	0.46	NO
	1833	599	0.62	NO
	413	668	0.54	NO
	1518	496	0.57	NO
	758	1792	0.59	NO
	592	1014	0.58	NO
	1080	296	0.48	NO
	961	730	0.47	NO
	1538	991	0.55	NO
	848	1370	0.54	NO
	1098	95	0.51	NO
	1262	683	0.57	NO
	1080	1253	0.57	NO
	190	1770	0.54	NO
	1571	1517	0.54	NO
	1731	1622	0.57	NO
	1801	1724	0.54	NO
	730	787	0.56	NO
	496	735	0.50	NO
	1133	761	0.55	NO
	144	1242	0.61	NO
	31	380	0.48	NO
	720	545	0.51	NO
	247	1658	0.50	NO
	763	520	0.60	NO
	1497	1083	0.42	NO
	1635	5	0.49	NO
	150	424	0.41	NO
	1513	308	0.52	NO
	1469	1665	0.55	NO
	609	1402	0.55	NO
	269	1188	0.59	NO
	971	1299	0.52	NO
	1454	343	0.62	NO
	618	924	0.46	NO
	832	1601	0.52	NO
	566	1791	0.64	NO
	1271	529	0.51	NO
	1423	1757	0.53	NO
	331	909	0.56	NO
	1427	963	0.44	NO
	1190	1541	0.52	NO
	1099	327	0.46	NO
	1555	844	0.55	NO
	1549	571	0.51	NO
	1747	328	0.56	NO
	1651	1687	0.44	NO
	738	31	0.51	NO
	663	417	0.56	NO
	649	1713	0.55	NO
	32	391	0.55	NO
	1051	1318	0.59	NO
	882	928	0.50	NO
	1189	736	0.57	NO
	381	1774	0.49	NO
	1252	1631	0.59	NO
	693	641	0.55	NO
	651	392	0.50	NO
	1296	442	0.53	NO
	1480	118	0.58	NO
	851	486	0.55	NO
	849	1085	0.43	NO
	1138	1328	0.52	NO
	115	1788	0.59	NO
	1106	1748	0.52	NO
	191	1774	0.54	NO
	1505	1339	0.49	NO
	315	1542	0.58	NO
	415	287	0.51	NO
	1330	987	0.47	NO
	83	554	0.52	NO
	12	1435	0.57	NO
	972	59	0.57	NO
	1313	255	0.57	NO
	331	1009	0.59	NO
	1339	20	0.47	NO
	1572	348	0.51	NO
	228	786	0.47	NO
	634	930	0.53	NO
	1058	606	0.50	NO
	652	1846	0.47	NO
	1223	199	0.55	NO
	1178	1679	0.55	NO
	1088	1540	0.48	NO
	618	742	0.46	NO
	920	1839	0.55	NO
	255	726	0.63	NO
	1184	1086	0.50	NO
	138	727	0.50	NO
	380	9	0.44	NO
	1445	796	0.39	NO
	1557	1110	0.61	NO
	89	371	0.58	NO
	1522	1611	0.53	NO
	1826	1140	0.54	NO
	976	685	0.63	NO
	938	450	0.51	NO
	261	1205	0.50	NO
	880	1173	0.59	NO
	114	309	0.53	NO
	1217	1762	0.49	NO
	789	1724	0.59	NO
	1035	1730	0.52	NO
	892	457	0.52	NO
	1044	199	0.56	NO
	1746	908	0.51	NO
	1668	991	0.54	NO
	754	1229	0.49	NO
	1533	968	0.55	NO
	1022	1396	0.51	NO
	962	1032	0.56	NO
	1281	413	0.62	NO
	1050	1711	0.51	NO
	1489	679	0.46	NO
	777	280	0.51	NO
	322	1133	0.53	NO
	1449	1849	0.54	NO
	365	85	0.50	NO
	1305	228	0.49	NO
	1127	1545	0.49	NO
	164	1711	0.53	NO
	672	850	0.51	NO
	597	1200	0.49	NO
	865	1661	0.54	NO
	784	1103	0.57	NO
	900	1356	0.53	NO
	675	1167	0.47	NO
	461	1065	0.50	NO
	583	1352	0.61	NO
	1336	14	0.59	NO
	1176	1448	0.49	NO
	1735	308	0.60	NO
	398	1150	0.44	NO
	1264	17	0.53	NO
	424	356	0.48	NO
	333	427	0.55	NO
	1264	416	0.47	NO
	1195	871	0.53	NO
	186	990	0.61	NO
	317	1175	0.40	NO
	1632	251	0.57	NO
	101	849	0.45	NO
	1590	1155	0.54	NO
	586	1066	0.53	NO
	1169	800	0.63	NO
	1195	1038	0.60	NO
	188	439	0.49	NO
	240	92	0.66	NO
	1819	1528	0.56	NO
	1506	1809	0.53	NO
	629	915	0.56	NO
	1330	1791	0.57	NO
	258	654	0.41	NO
	1328	1411	0.43	NO
	407	1326	0.48	NO
	1562	1448	0.50	NO
	1466	1326	0.44	NO
	1161	1090	0.54	NO
	1633	400	0.51	NO
	1564	339	0.51	NO
	1418	442	0.61	NO
	708	1488	0.49	NO
	1471	1076	0.49	NO
	77	1147	0.54	NO
	856	321	0.49	NO
	1047	1324	0.51	NO
	987	1162	0.51	NO
	860	1015	0.52	NO
	1777	1254	0.50	NO
	1595	1711	0.47	NO
	709	837	0.64	NO
	7	619	0.56	NO
	1032	335	0.57	NO
	1438	523	0.49	NO
	198	1599	0.53	NO
	760	1451	0.58	NO
	655	629	0.54	NO
	1037	1108	0.55	NO
	711	286	0.46	NO
	797	556	0.45	NO
	1412	458	0.61	NO
	242	1555	0.54	NO
	405	826	0.49	NO
	616	1242	0.59	NO
	1339	1111	0.52	NO
	23	683	0.59	NO
	1461	793	0.52	NO
	919	972	0.53	NO
	273	558	0.46	NO
	1454	1382	0.64	NO
	1621	1407	0.53	NO
	226	628	0.55	NO
	1639	569	0.53	NO
	1278	1262	0.57	NO
	556	706	0.47	NO
	1386	486	0.49	NO
	423	271	0.61	NO
	453	1515	0.58	NO
	507	1045	0.50	NO
	179	810	0.46	NO
	1690	917	0.51	NO
	148	384	0.57	NO
	28	459	0.61	NO
	903	209	0.45	NO
	1582	1207	0.54	NO
	204	975	0.49	NO
	1225	269	0.53	NO
	114	882	0.58	NO
	1231	591	0.44	NO
	219	879	0.46	NO
	125	37	0.52	NO
	65	1018	0.52	NO
	1416	1279	0.42	NO
	52	1651	0.53	NO
	1388	1613	0.58	NO
	248	141	0.57	NO
	211	648	0.51	NO
	1786	1300	0.56	NO
	1093	253	0.59	NO
	1031	506	0.50	NO
	61	1434	0.50	NO
	131	293	0.51	NO
	325	1559	0.58	NO
	1491	1546	0.51	NO
	863	67	0.54	NO
	1827	533	0.53	NO
	1262	678	0.50	NO
	1138	1079	0.56	NO
	687	1284	0.47	NO
	1130	1168	0.54	NO
	207	1079	0.60	NO
	1128	455	0.54	NO
	843	241	0.48	NO
	1173	1623	0.48	NO
	49	383	0.52	NO
	1187	1263	0.48	NO
	1784	355	0.54	NO
	1445	1507	0.50	NO
	1446	1352	0.62	NO
	1261	212	0.53	NO
	1230	832	0.48	NO
	794	965	0.53	NO
	1035	1077	0.57	NO
	702	1469	0.56	NO
	754	1409	0.52	NO
	187	736	0.57	NO
	1561	40	0.55	NO
	1559	222	0.53	NO
	1252	1208	0.51	NO
	1237	343	0.53	NO
	1597	505	0.51	NO
	18	1031	0.56	NO
	263	841	0.51	NO
	239	731	0.54	NO
	1514	1551	0.50	NO
	908	1623	0.56	NO
	172	1260	0.49	NO
	618	566	0.50	NO
	1193	1852	0.50	NO
	1577	743	0.52	NO
	229	647	0.54	NO
	1295	1606	0.60	NO
	1658	1260	0.55	NO
	296	128	0.46	NO
	195	914	0.51	NO
	177	1547	0.60	NO
	894	1058	0.48	NO
	325	442	0.55	NO
	527	1188	0.49	NO
	1104	1578	0.55	NO
	200	98	0.56	NO
	441	570	0.54	NO
	1686	1572	0.44	NO
	1465	352	0.52	NO
	1142	838	0.51	NO
	1423	1364	0.58	NO
	946	214	0.51	NO
	1394	646	0.61	NO
	263	59	0.55	NO
	174	1396	0.51	NO
	1741	1310	0.61	NO
	939	1695	0.39	NO
	385	262	0.46	NO
	330	1792	0.60	NO
	900	356	0.59	NO
	1829	87	0.58	NO
	245	29	0.49	NO
	310	494	0.58	NO
	348	1256	0.62	NO
	847	1760	0.59	NO
	861	817	0.57	NO
	417	1274	0.59	NO
	1105	1081	0.67	NO
	1011	1109	0.52	NO
	697	764	0.44	NO
	249	972	0.56	NO
	446	750	0.56	NO
	592	455	0.60	NO
	1290	1830	0.52	NO
	1081	274	0.41	NO
	534	889	0.52	NO
	828	17	0.52	NO
	1836	347	0.50	NO
	1141	197	0.54	NO
	750	1140	0.49	NO
	1229	83	0.52	NO
	633	681	0.53	NO
	894	1298	0.50	NO
	1710	497	0.52	NO
	1260	1315	0.52	NO
	1125	1066	0.54	NO
	630	1698	0.49	NO
	1008	105	0.56	NO
	174	492	0.57	NO
	565	1243	0.62	NO
	1274	1209	0.61	NO
	1728	1474	0.46	NO
	591	304	0.49	NO
	167	345	0.60	NO
	960	1629	0.58	NO
	561	278	0.56	NO
	528	943	0.60	NO
	164	1645	0.57	NO
	102	72	0.63	NO
	159	466	0.51	NO
	368	764	0.54	NO
	1602	1167	0.55	NO
	774	922	0.47	NO
	1378	229	0.57	NO
	1656	1552	0.60	NO
	1244	1126	0.53	NO
	1539	794	0.52	NO
	1212	952	0.44	NO
	448	229	0.55	NO
	1594	397	0.57	NO
	1518	1683	0.53	NO
	948	1484	0.57	NO
	1116	1684	0.54	NO
	1509	38	0.46	NO
	726	852	0.51	NO
	351	1343	0.48	NO
	1285	192	0.53	NO
	504	1041	0.57	NO
	1266	147	0.59	NO
	937	1811	0.47	NO
	245	466	0.55	NO
	1418	1590	0.59	NO
	993	1086	0.52	NO
	561	878	0.52	NO
	743	1352	0.57	NO
	1436	443	0.49	NO
	434	289	0.49	NO
	1068	1128	0.55	NO
	1093	723	0.52	NO
	609	615	0.55	NO
	1274	604	0.52	NO
	522	1033	0.52	NO
	1593	1323	0.49	NO
	1286	1247	0.48	NO
	366	1114	0.55	NO
	1342	494	0.52	NO
	368	408	0.58	NO
	686	133	0.52	NO
	357	148	0.49	NO
	1206	1665	0.58	NO
	852	1538	0.50	NO
	1509	164	0.52	NO
	1029	1259	0.55	NO
	685	1697	0.45	NO
	1392	1033	0.53	NO
	1390	193	0.50	NO
	153	1607	0.55	NO
	1499	1366	0.58	NO
	1292	401	0.47	NO
	578	967	0.57	NO
	98	16	0.46	NO
	473	635	0.51	NO
	1140	524	0.52	NO
	413	232	0.59	NO
	220	1156	0.51	NO
	999	1436	0.54	NO
	152	108	0.53	NO
	340	1159	0.47	NO
	1315	606	0.49	NO
	945	549	0.57	NO
	239	635	0.52	NO
	278	157	0.53	NO
	869	982	0.60	NO
	38	1658	0.51	NO
	376	470	0.54	NO
	703	561	0.53	NO
	23	537	0.48	NO
	451	244	0.57	NO
	585	1179	0.52	NO
	870	1732	0.62	NO
	837	377	0.56	NO
	959	55	0.55	NO
	123	1489	0.43	NO
	1456	1433	0.42	NO
	374	833	0.48	NO
	1257	1104	0.56	NO
	55	193	0.51	NO
	888	1077	0.55	NO
	1593	1674	0.52	NO
	1508	758	0.58	NO
	464	1161	0.54	NO
	769	447	0.51	NO
	586	748	0.66	NO
	115	1135	0.57	NO
	192	917	0.53	NO
	771	1250	0.49	NO
	818	1508	0.45	NO
	1050	832	0.50	NO
	43	45	0.55	NO
	1656	1312	0.54	NO
	1757	1565	0.56	NO
	1282	810	0.52	NO
	743	1852	0.54	NO
	433	783	0.54	NO
	350	616	0.52	NO
	1711	495	0.48	NO
	1387	1373	0.51	NO
	1196	975	0.53	NO
	50	496	0.49	NO
	1494	950	0.48	NO
	664	1132	0.56	NO
	1352	607	0.65	NO
	1657	712	0.54	NO
	1735	25	0.62	NO
	980	1834	0.50	NO
	1824	834	0.47	NO
	498	1028	0.54	NO
	982	1124	0.52	NO
	317	1283	0.48	NO
	1364	947	0.56	NO
	580	1848	0.50	NO
	1311	942	0.52	NO
	1633	687	0.55	NO
