Size:1853	TP:1831	FN:22	Accuracy:98.8%
Least:697	0.48
Most:1545	0.97
403	0.91	YES
404	0.85	YES
405	0.90	YES
406	0.87	YES
407	0.80	YES
408	0.81	YES
409	0.86	YES
410	0.83	YES
411	0.80	YES
412	0.88	YES
413	0.91	YES
414	0.94	YES
415	0.77	YES
416	0.89	YES
417	0.91	YES
418	0.88	YES
419	0.80	YES
420	0.85	YES
421	0.81	YES
422	0.86	YES
423	0.91	YES
424	0.81	YES
425	0.88	YES
426	0.88	YES
427	0.94	YES
428	0.91	YES
429	0.86	YES
430	0.90	YES
431	0.85	YES
432	0.88	YES
433	0.87	YES
434	0.93	YES
435	0.80	YES
436	0.90	YES
437	0.85	YES
438	0.92	YES
439	0.84	YES
440	0.72	YES
441	0.86	YES
442	0.93	YES
443	0.76	YES
444	0.79	YES
445	0.87	YES
446	0.88	YES
447	0.90	YES
448	0.83	YES
449	0.81	YES
450	0.90	YES
451	0.91	YES
452	0.81	YES
453	0.84	YES
454	0.78	YES
455	0.86	YES
456	0.85	YES
457	0.91	YES
458	0.90	YES
459	0.89	YES
460	0.76	YES
461	0.89	YES
462	0.83	YES
463	0.94	YES
464	0.92	YES
465	0.90	YES
466	0.87	YES
467	0.91	YES
468	0.86	YES
469	0.91	YES
470	0.86	YES
471	0.89	YES
472	0.87	YES
473	0.94	YES
474	0.94	YES
475	0.86	YES
476	0.74	YES
477	0.87	YES
478	0.90	YES
479	0.78	YES
480	0.84	YES
481	0.88	YES
482	0.83	YES
483	0.87	YES
484	0.82	YES
485	0.83	YES
486	0.92	YES
487	0.90	YES
488	0.84	YES
489	0.84	YES
490	0.93	YES
491	0.79	YES
492	0.78	YES
493	0.90	YES
494	0.86	YES
495	0.88	YES
496	0.90	YES
497	0.84	YES
498	0.85	YES
499	0.85	YES
500	0.84	YES
501	0.81	YES
502	0.80	YES
503	0.80	YES
504	0.92	YES
505	0.90	YES
506	0.83	YES
507	0.86	YES
508	0.90	YES
509	0.93	YES
510	0.85	YES
511	0.81	YES
512	0.89	YES
513	0.82	YES
514	0.81	YES
515	0.81	YES
516	0.94	YES
517	0.89	YES
518	0.76	YES
519	0.83	YES
520	0.77	YES
521	0.85	YES
522	0.94	YES
523	0.72	YES
524	0.89	YES
525	0.86	YES
526	0.86	YES
527	0.83	YES
528	0.81	YES
529	0.83	YES
530	0.76	YES
531	0.84	YES
532	0.85	YES
533	0.86	YES
534	0.94	YES
535	0.87	YES
536	0.94	YES
537	0.90	YES
538	0.89	YES
539	0.88	YES
540	0.84	YES
541	0.89	YES
542	0.79	YES
543	0.91	YES
544	0.76	YES
545	0.80	YES
546	0.88	YES
547	0.82	YES
548	0.92	YES
549	0.87	YES
550	0.76	YES
551	0.88	YES
552	0.88	YES
553	0.81	YES
554	0.90	YES
555	0.82	YES
556	0.80	YES
557	0.81	YES
558	0.87	YES
559	0.87	YES
560	0.87	YES
561	0.85	YES
562	0.86	YES
563	0.87	YES
564	0.86	YES
565	0.80	YES
566	0.85	YES
567	0.90	YES
568	0.78	YES
569	0.85	YES
570	0.88	YES
571	0.90	YES
572	0.89	YES
573	0.78	YES
574	0.87	YES
575	0.92	YES
576	0.92	YES
577	0.81	YES
578	0.78	YES
579	0.85	YES
580	0.83	YES
581	0.86	YES
582	0.88	YES
583	0.81	YES
584	0.85	YES
585	0.87	YES
586	0.89	YES
587	0.83	YES
588	0.91	YES
589	0.78	YES
590	0.86	YES
591	0.93	YES
592	0.89	YES
593	0.94	YES
594	0.88	YES
595	0.89	YES
596	0.86	YES
597	0.78	YES
598	0.77	YES
599	0.70	YES
600	0.87	YES
601	0.79	YES
602	0.74	YES
603	0.83	YES
604	0.83	YES
605	0.78	YES
606	0.82	YES
607	0.86	YES
608	0.90	YES
609	0.91	YES
610	0.79	YES
611	0.91	YES
612	0.86	YES
613	0.81	YES
614	0.86	YES
615	0.76	YES
616	0.76	YES
617	0.91	YES
618	0.82	YES
619	0.88	YES
620	0.80	YES
621	0.85	YES
622	0.79	YES
623	0.81	YES
624	0.85	YES
625	0.83	YES
626	0.91	YES
627	0.94	YES
628	0.86	YES
629	0.94	YES
630	0.74	YES
631	0.83	YES
632	0.93	YES
633	0.89	YES
634	0.94	YES
635	0.89	YES
636	0.86	YES
637	0.87	YES
638	0.78	YES
639	0.89	YES
640	0.86	YES
641	0.89	YES
642	0.85	YES
643	0.90	YES
644	0.92	YES
645	0.91	YES
646	0.84	YES
647	0.84	YES
648	0.84	YES
649	0.90	YES
650	0.84	YES
651	0.84	YES
652	0.84	YES
653	0.74	YES
654	0.90	YES
655	0.89	YES
656	0.86	YES
657	0.77	YES
658	0.90	YES
659	0.87	YES
660	0.86	YES
661	0.80	YES
662	0.80	YES
663	0.88	YES
664	0.74	YES
665	0.85	YES
666	0.83	YES
667	0.91	YES
668	0.82	YES
669	0.83	YES
670	0.91	YES
671	0.69	NO
672	0.87	YES
673	0.82	YES
674	0.91	YES
675	0.90	YES
676	0.85	YES
677	0.86	YES
678	0.83	YES
679	0.81	YES
680	0.79	YES
681	0.90	YES
682	0.89	YES
683	0.91	YES
684	0.85	YES
685	0.92	YES
686	0.92	YES
687	0.76	YES
688	0.74	YES
689	0.80	YES
690	0.91	YES
691	0.93	YES
692	0.87	YES
693	0.84	YES
694	0.84	YES
695	0.75	YES
696	0.85	YES
697	0.48	NO
698	0.90	YES
699	0.77	YES
700	0.92	YES
701	0.89	YES
702	0.82	YES
703	0.84	YES
704	0.92	YES
705	0.57	NO
706	0.86	YES
707	0.93	YES
708	0.91	YES
709	0.89	YES
710	0.87	YES
711	0.93	YES
712	0.88	YES
713	0.90	YES
714	0.91	YES
715	0.78	YES
716	0.90	YES
717	0.78	YES
718	0.88	YES
719	0.84	YES
720	0.87	YES
721	0.85	YES
722	0.89	YES
723	0.88	YES
724	0.86	YES
725	0.81	YES
726	0.85	YES
727	0.86	YES
728	0.71	YES
729	0.78	YES
730	0.93	YES
731	0.90	YES
732	0.84	YES
733	0.89	YES
734	0.91	YES
735	0.81	YES
736	0.83	YES
737	0.76	YES
738	0.92	YES
739	0.81	YES
740	0.84	YES
741	0.83	YES
742	0.88	YES
743	0.80	YES
744	0.83	YES
745	0.85	YES
746	0.92	YES
747	0.87	YES
748	0.85	YES
749	0.91	YES
750	0.91	YES
751	0.82	YES
752	0.88	YES
753	0.77	YES
754	0.71	YES
755	0.90	YES
756	0.82	YES
757	0.87	YES
758	0.87	YES
759	0.75	YES
760	0.82	YES
761	0.87	YES
762	0.84	YES
763	0.78	YES
764	0.81	YES
765	0.89	YES
766	0.84	YES
767	0.92	YES
768	0.79	YES
769	0.84	YES
770	0.86	YES
771	0.93	YES
772	0.92	YES
773	0.83	YES
774	0.87	YES
775	0.83	YES
776	0.88	YES
777	0.91	YES
778	0.89	YES
779	0.84	YES
780	0.92	YES
781	0.74	YES
782	0.89	YES
783	0.87	YES
784	0.79	YES
785	0.87	YES
786	0.82	YES
787	0.83	YES
788	0.83	YES
789	0.91	YES
790	0.89	YES
791	0.76	YES
792	0.90	YES
793	0.81	YES
794	0.84	YES
795	0.91	YES
796	0.89	YES
797	0.70	NO
798	0.79	YES
799	0.89	YES
800	0.87	YES
801	0.87	YES
802	0.79	YES
803	0.84	YES
804	0.88	YES
805	0.90	YES
806	0.90	YES
807	0.89	YES
808	0.82	YES
809	0.85	YES
810	0.79	YES
811	0.84	YES
812	0.88	YES
813	0.84	YES
814	0.83	YES
815	0.85	YES
816	0.77	YES
817	0.84	YES
818	0.85	YES
819	0.91	YES
820	0.87	YES
821	0.91	YES
822	0.89	YES
823	0.79	YES
824	0.83	YES
825	0.86	YES
826	0.88	YES
827	0.72	YES
828	0.77	YES
829	0.84	YES
830	0.91	YES
831	0.91	YES
832	0.71	YES
833	0.80	YES
834	0.86	YES
835	0.77	YES
836	0.88	YES
837	0.84	YES
838	0.87	YES
839	0.83	YES
840	0.87	YES
841	0.73	YES
842	0.80	YES
843	0.82	YES
844	0.87	YES
845	0.89	YES
846	0.91	YES
847	0.78	YES
848	0.86	YES
849	0.80	YES
850	0.84	YES
851	0.86	YES
852	0.89	YES
853	0.85	YES
854	0.87	YES
855	0.88	YES
856	0.80	YES
857	0.82	YES
858	0.77	YES
859	0.89	YES
860	0.91	YES
861	0.92	YES
862	0.83	YES
863	0.81	YES
864	0.85	YES
865	0.74	YES
866	0.82	YES
867	0.81	YES
868	0.78	YES
869	0.85	YES
870	0.83	YES
871	0.76	YES
872	0.82	YES
873	0.83	YES
874	0.86	YES
875	0.84	YES
876	0.86	YES
877	0.89	YES
878	0.84	YES
879	0.82	YES
880	0.93	YES
881	0.80	YES
882	0.87	YES
883	0.88	YES
884	0.89	YES
885	0.91	YES
886	0.84	YES
887	0.83	YES
888	0.86	YES
889	0.88	YES
890	0.82	YES
891	0.89	YES
892	0.92	YES
893	0.88	YES
894	0.88	YES
895	0.85	YES
896	0.81	YES
897	0.85	YES
898	0.87	YES
899	0.69	NO
900	0.89	YES
901	0.88	YES
902	0.91	YES
903	0.82	YES
904	0.89	YES
905	0.89	YES
906	0.77	YES
907	0.87	YES
908	0.83	YES
909	0.85	YES
910	0.80	YES
911	0.83	YES
912	0.83	YES
913	0.89	YES
914	0.86	YES
915	0.89	YES
916	0.91	YES
917	0.83	YES
918	0.87	YES
919	0.86	YES
920	0.90	YES
921	0.91	YES
922	0.82	YES
923	0.78	YES
924	0.75	YES
925	0.73	YES
926	0.91	YES
927	0.83	YES
928	0.92	YES
929	0.88	YES
930	0.82	YES
931	0.89	YES
932	0.80	YES
933	0.76	YES
934	0.84	YES
935	0.74	YES
936	0.88	YES
937	0.87	YES
938	0.79	YES
939	0.83	YES
940	0.82	YES
941	0.91	YES
942	0.90	YES
943	0.82	YES
944	0.86	YES
945	0.91	YES
946	0.83	YES
947	0.86	YES
948	0.87	YES
949	0.72	YES
950	0.85	YES
951	0.75	YES
952	0.84	YES
953	0.85	YES
954	0.77	YES
955	0.81	YES
956	0.85	YES
957	0.79	YES
958	0.77	YES
959	0.94	YES
960	0.91	YES
961	0.79	YES
962	0.87	YES
963	0.88	YES
964	0.86	YES
965	0.94	YES
966	0.90	YES
967	0.92	YES
968	0.79	YES
969	0.89	YES
970	0.84	YES
971	0.78	YES
972	0.90	YES
973	0.89	YES
974	0.80	YES
975	0.83	YES
976	0.87	YES
977	0.89	YES
978	0.89	YES
979	0.85	YES
980	0.89	YES
981	0.87	YES
982	0.83	YES
983	0.91	YES
984	0.89	YES
985	0.91	YES
986	0.90	YES
987	0.84	YES
988	0.77	YES
989	0.83	YES
990	0.83	YES
991	0.85	YES
992	0.77	YES
993	0.84	YES
994	0.86	YES
995	0.83	YES
996	0.91	YES
997	0.93	YES
998	0.83	YES
999	0.86	YES
1000	0.86	YES
1001	0.84	YES
1002	0.83	YES
1003	0.81	YES
1004	0.76	YES
1005	0.85	YES
1006	0.90	YES
1007	0.75	YES
1008	0.79	YES
1009	0.91	YES
1010	0.87	YES
1011	0.89	YES
1012	0.85	YES
1013	0.79	YES
1014	0.83	YES
1015	0.77	YES
1016	0.91	YES
1017	0.82	YES
1018	0.85	YES
1019	0.85	YES
1020	0.89	YES
1021	0.91	YES
1022	0.79	YES
1023	0.86	YES
1024	0.81	YES
1025	0.95	YES
1026	0.82	YES
1027	0.85	YES
1028	0.85	YES
1029	0.93	YES
1030	0.90	YES
1031	0.93	YES
1032	0.71	YES
1033	0.88	YES
1034	0.85	YES
1035	0.91	YES
1036	0.89	YES
1037	0.82	YES
1038	0.74	YES
1039	0.88	YES
1040	0.85	YES
1041	0.83	YES
1042	0.89	YES
1043	0.90	YES
1044	0.91	YES
1045	0.83	YES
1046	0.86	YES
1047	0.80	YES
1048	0.92	YES
1049	0.79	YES
1050	0.91	YES
1051	0.84	YES
1052	0.87	YES
1053	0.85	YES
1054	0.81	YES
1055	0.91	YES
1056	0.87	YES
1057	0.82	YES
1058	0.90	YES
1059	0.95	YES
1060	0.84	YES
1061	0.92	YES
1062	0.86	YES
1063	0.83	YES
1064	0.88	YES
1065	0.88	YES
1066	0.84	YES
1067	0.85	YES
1068	0.89	YES
1069	0.90	YES
1070	0.90	YES
1071	0.79	YES
1072	0.85	YES
1073	0.84	YES
1074	0.86	YES
1075	0.76	YES
1076	0.85	YES
1077	0.88	YES
1078	0.84	YES
1079	0.90	YES
1080	0.90	YES
1081	0.81	YES
1082	0.65	NO
1083	0.87	YES
1084	0.88	YES
1085	0.82	YES
1086	0.82	YES
1087	0.87	YES
1088	0.81	YES
1089	0.84	YES
1090	0.84	YES
1091	0.92	YES
1092	0.90	YES
1093	0.73	YES
1094	0.88	YES
1095	0.81	YES
1096	0.81	YES
1097	0.85	YES
1098	0.92	YES
1099	0.91	YES
1100	0.89	YES
1101	0.78	YES
1102	0.83	YES
1103	0.87	YES
1104	0.84	YES
1105	0.85	YES
1106	0.91	YES
1107	0.90	YES
1108	0.82	YES
1109	0.85	YES
1110	0.88	YES
1111	0.88	YES
1112	0.92	YES
1113	0.87	YES
1114	0.74	YES
1115	0.89	YES
1116	0.84	YES
1117	0.87	YES
1118	0.87	YES
1119	0.87	YES
1120	0.86	YES
1121	0.82	YES
1122	0.77	YES
1123	0.91	YES
1124	0.83	YES
1125	0.87	YES
1126	0.86	YES
1127	0.84	YES
1128	0.80	YES
1129	0.83	YES
1130	0.93	YES
1131	0.83	YES
1132	0.91	YES
1133	0.90	YES
1134	0.89	YES
1135	0.78	YES
1136	0.86	YES
1137	0.83	YES
1138	0.87	YES
1139	0.84	YES
1140	0.94	YES
1141	0.91	YES
1142	0.85	YES
1143	0.88	YES
1144	0.83	YES
1145	0.93	YES
1146	0.92	YES
1147	0.90	YES
1148	0.87	YES
1149	0.78	YES
1150	0.76	YES
1151	0.84	YES
1152	0.74	YES
1153	0.82	YES
1154	0.87	YES
1155	0.76	YES
1156	0.89	YES
1157	0.91	YES
1158	0.93	YES
1159	0.76	YES
1160	0.86	YES
1161	0.88	YES
1162	0.84	YES
1163	0.90	YES
1164	0.86	YES
1165	0.86	YES
1166	0.87	YES
1167	0.87	YES
1168	0.88	YES
1169	0.87	YES
1170	0.88	YES
1171	0.82	YES
1172	0.92	YES
1173	0.75	YES
1174	0.89	YES
1175	0.82	YES
1176	0.79	YES
1177	0.86	YES
1178	0.83	YES
1179	0.85	YES
1180	0.72	YES
1181	0.89	YES
1182	0.90	YES
1183	0.72	YES
1184	0.93	YES
1185	0.87	YES
1186	0.83	YES
1187	0.89	YES
1188	0.85	YES
1189	0.84	YES
1190	0.93	YES
1191	0.82	YES
1192	0.88	YES
1193	0.91	YES
1194	0.87	YES
1195	0.88	YES
1196	0.89	YES
1197	0.77	YES
1198	0.90	YES
1199	0.88	YES
1200	0.89	YES
1201	0.87	YES
1202	0.77	YES
1203	0.87	YES
1204	0.84	YES
1205	0.86	YES
1206	0.85	YES
1207	0.81	YES
1208	0.89	YES
1209	0.92	YES
1210	0.89	YES
1211	0.92	YES
1212	0.87	YES
1213	0.80	YES
1214	0.56	NO
1215	0.93	YES
1216	0.88	YES
1217	0.85	YES
1218	0.70	NO
1219	0.90	YES
1220	0.92	YES
1221	0.91	YES
1222	0.90	YES
1223	0.89	YES
1224	0.71	YES
1225	0.89	YES
1226	0.90	YES
1227	0.89	YES
1228	0.88	YES
1229	0.92	YES
1230	0.92	YES
1231	0.83	YES
1232	0.79	YES
1233	0.83	YES
1234	0.84	YES
1235	0.92	YES
1236	0.93	YES
1237	0.83	YES
1238	0.83	YES
1239	0.84	YES
1240	0.91	YES
1241	0.80	YES
1242	0.89	YES
1243	0.86	YES
1244	0.79	YES
1245	0.89	YES
1246	0.77	YES
1247	0.90	YES
1248	0.88	YES
1249	0.87	YES
1250	0.90	YES
1251	0.94	YES
1252	0.89	YES
1253	0.89	YES
1254	0.88	YES
1255	0.74	YES
1256	0.78	YES
1257	0.81	YES
1258	0.83	YES
1259	0.89	YES
1260	0.89	YES
1261	0.86	YES
1262	0.89	YES
1263	0.93	YES
1264	0.88	YES
1265	0.79	YES
1266	0.88	YES
1267	0.84	YES
1268	0.90	YES
1269	0.92	YES
1270	0.85	YES
1271	0.89	YES
1272	0.85	YES
1273	0.83	YES
1274	0.92	YES
1275	0.86	YES
1276	0.92	YES
1277	0.89	YES
1278	0.82	YES
1279	0.79	YES
1280	0.81	YES
1281	0.79	YES
1282	0.81	YES
1283	0.86	YES
1284	0.73	YES
1285	0.74	YES
1286	0.88	YES
1287	0.92	YES
1288	0.86	YES
1289	0.82	YES
1290	0.88	YES
1291	0.90	YES
1292	0.61	NO
1293	0.86	YES
1294	0.80	YES
1295	0.90	YES
1296	0.91	YES
1297	0.84	YES
1298	0.85	YES
1299	0.85	YES
1300	0.87	YES
1301	0.76	YES
1302	0.79	YES
1303	0.90	YES
1304	0.87	YES
1305	0.80	YES
1306	0.85	YES
1307	0.78	YES
1308	0.89	YES
1309	0.85	YES
1310	0.91	YES
1311	0.88	YES
1312	0.85	YES
1313	0.90	YES
1314	0.88	YES
1315	0.95	YES
1316	0.83	YES
1317	0.88	YES
1318	0.83	YES
1319	0.74	YES
1320	0.84	YES
1321	0.93	YES
1322	0.88	YES
1323	0.79	YES
1324	0.87	YES
1325	0.92	YES
1326	0.81	YES
1327	0.89	YES
1328	0.77	YES
1329	0.86	YES
1330	0.87	YES
1331	0.91	YES
1332	0.66	NO
1333	0.92	YES
1334	0.83	YES
1335	0.86	YES
1336	0.89	YES
1337	0.91	YES
1338	0.90	YES
1339	0.77	YES
1340	0.87	YES
1341	0.91	YES
1342	0.68	NO
1343	0.92	YES
1344	0.76	YES
1345	0.72	YES
1346	0.88	YES
1347	0.89	YES
1348	0.86	YES
1349	0.85	YES
1350	0.81	YES
1351	0.79	YES
1352	0.92	YES
1353	0.84	YES
1354	0.85	YES
1355	0.92	YES
1356	0.81	YES
1357	0.85	YES
1358	0.92	YES
1359	0.80	YES
1360	0.86	YES
1361	0.77	YES
1362	0.92	YES
1363	0.90	YES
1364	0.89	YES
1365	0.87	YES
1366	0.92	YES
1367	0.85	YES
1368	0.90	YES
1369	0.83	YES
1370	0.77	YES
1371	0.82	YES
1372	0.93	YES
1373	0.87	YES
1374	0.81	YES
1375	0.87	YES
1376	0.91	YES
1377	0.84	YES
1378	0.86	YES
1379	0.72	YES
1380	0.92	YES
1381	0.80	YES
1382	0.84	YES
1383	0.84	YES
1384	0.93	YES
1385	0.89	YES
1386	0.87	YES
1387	0.90	YES
1388	0.92	YES
1389	0.92	YES
1390	0.86	YES
1391	0.84	YES
1392	0.60	NO
1393	0.89	YES
1394	0.84	YES
1395	0.86	YES
1396	0.87	YES
1397	0.85	YES
1398	0.87	YES
1399	0.86	YES
1400	0.94	YES
1401	0.88	YES
1402	0.84	YES
1403	0.57	NO
1404	0.82	YES
1405	0.87	YES
1406	0.82	YES
1407	0.85	YES
1408	0.83	YES
1409	0.85	YES
1410	0.87	YES
1411	0.88	YES
1412	0.86	YES
1413	0.87	YES
1414	0.89	YES
1415	0.83	YES
1416	0.86	YES
1417	0.91	YES
1418	0.89	YES
1419	0.84	YES
1420	0.73	YES
1421	0.85	YES
1422	0.83	YES
1423	0.84	YES
1424	0.84	YES
1425	0.72	YES
1426	0.83	YES
1427	0.80	YES
1428	0.81	YES
1429	0.88	YES
1430	0.76	YES
1431	0.80	YES
1432	0.86	YES
1433	0.87	YES
1434	0.89	YES
1435	0.91	YES
1436	0.91	YES
1437	0.90	YES
1438	0.91	YES
1439	0.86	YES
1440	0.78	YES
1441	0.85	YES
1442	0.84	YES
1443	0.88	YES
1444	0.82	YES
1445	0.92	YES
1446	0.91	YES
1447	0.88	YES
1448	0.89	YES
1449	0.88	YES
1450	0.90	YES
1451	0.88	YES
1452	0.79	YES
1453	0.86	YES
1454	0.93	YES
1455	0.76	YES
1456	0.86	YES
1457	0.91	YES
1458	0.88	YES
1459	0.93	YES
1460	0.89	YES
1461	0.89	YES
1462	0.85	YES
1463	0.83	YES
1464	0.90	YES
1465	0.81	YES
1466	0.75	YES
1467	0.91	YES
1468	0.85	YES
1469	0.92	YES
1470	0.91	YES
1471	0.81	YES
1472	0.87	YES
1473	0.86	YES
1474	0.86	YES
1475	0.92	YES
1476	0.89	YES
1477	0.87	YES
1478	0.78	YES
1479	0.76	YES
1480	0.84	YES
1481	0.80	YES
1482	0.90	YES
1483	0.90	YES
1484	0.85	YES
1485	0.85	YES
1486	0.86	YES
1487	0.82	YES
1488	0.91	YES
