Size:1853	TN:1853	FP:0	Accuracy:100.0%
Least:353	751	0.39
Most:783	853	0.69
Line_en	Line_zh	Similarity	Pair
	1550	1232	0.46	NO
	521	1458	0.63	NO
	1226	1665	0.48	NO
	1026	1557	0.54	NO
	1371	77	0.52	NO
	1610	1225	0.43	NO
	145	159	0.61	NO
	1406	1271	0.52	NO
	1626	924	0.56	NO
	251	1295	0.46	NO
	1440	870	0.44	NO
	891	1334	0.59	NO
	1462	1141	0.52	NO
	1440	87	0.50	NO
	1216	1540	0.48	NO
	589	718	0.56	NO
	1415	106	0.55	NO
	254	995	0.60	NO
	1476	513	0.56	NO
	318	1774	0.56	NO
	63	58	0.55	NO
	943	1225	0.48	NO
	1451	485	0.57	NO
	1685	1721	0.53	NO
	1254	1053	0.63	NO
	1364	925	0.53	NO
	207	164	0.39	NO
	694	1757	0.47	NO
	489	1740	0.45	NO
	756	1687	0.49	NO
	1013	541	0.57	NO
	204	1057	0.56	NO
	1451	533	0.53	NO
	224	1813	0.54	NO
	659	1368	0.50	NO
	1206	64	0.61	NO
	619	89	0.46	NO
	1468	226	0.48	NO
	1074	1788	0.54	NO
	1443	1166	0.52	NO
	1229	1548	0.60	NO
	290	1104	0.58	NO
	1709	1443	0.55	NO
	1047	1703	0.53	NO
	1563	1624	0.49	NO
	1845	1781	0.56	NO
	133	595	0.59	NO
	560	24	0.47	NO
	189	219	0.48	NO
	11	990	0.58	NO
	1239	308	0.55	NO
	942	1848	0.52	NO
	285	1718	0.58	NO
	232	1768	0.60	NO
	1791	633	0.54	NO
	314	406	0.57	NO
	1228	1012	0.59	NO
	1797	145	0.55	NO
	1416	821	0.50	NO
	999	1530	0.53	NO
	1132	1645	0.61	NO
	349	1270	0.48	NO
	1321	411	0.52	NO
	95	690	0.52	NO
	1097	1466	0.50	NO
	1148	1586	0.51	NO
	1020	607	0.50	NO
	779	750	0.45	NO
	811	1738	0.52	NO
	1395	559	0.54	NO
	1840	1528	0.55	NO
	1803	1760	0.47	NO
	871	898	0.66	NO
	1364	280	0.56	NO
	1060	577	0.44	NO
	121	533	0.54	NO
	1023	324	0.54	NO
	712	215	0.42	NO
	1059	1575	0.58	NO
	1352	1719	0.59	NO
	1522	1042	0.48	NO
	1236	610	0.63	NO
	149	41	0.51	NO
	1362	808	0.57	NO
	1039	1663	0.54	NO
	1308	536	0.57	NO
	1522	824	0.48	NO
	456	480	0.60	NO
	1052	436	0.44	NO
	780	1604	0.48	NO
	381	338	0.51	NO
	1656	675	0.43	NO
	228	1240	0.45	NO
	625	73	0.51	NO
	1456	983	0.54	NO
	1137	1300	0.50	NO
	1774	979	0.56	NO
	171	172	0.53	NO
	298	1167	0.56	NO
	670	1130	0.57	NO
	752	193	0.50	NO
	372	404	0.57	NO
	837	595	0.59	NO
	51	1644	0.59	NO
	1203	1486	0.53	NO
	1651	849	0.48	NO
	1691	404	0.55	NO
	64	722	0.46	NO
	371	868	0.54	NO
	1308	1194	0.58	NO
	1244	1398	0.59	NO
	1556	1563	0.50	NO
	84	1784	0.57	NO
	933	1212	0.56	NO
	1572	1592	0.49	NO
	1566	1305	0.48	NO
	1004	782	0.49	NO
	1846	1743	0.50	NO
	73	538	0.50	NO
	1781	1042	0.52	NO
	1026	672	0.53	NO
	583	650	0.61	NO
	1606	354	0.55	NO
	1111	1541	0.60	NO
	1505	91	0.58	NO
	655	60	0.46	NO
	888	1562	0.46	NO
	107	605	0.56	NO
	897	1433	0.59	NO
	444	1478	0.52	NO
	748	760	0.54	NO
	1037	741	0.43	NO
	1162	636	0.54	NO
	890	677	0.52	NO
	148	385	0.58	NO
	137	1133	0.56	NO
	1768	1118	0.50	NO
	76	1160	0.58	NO
	1114	1040	0.56	NO
	409	1363	0.53	NO
	441	1245	0.54	NO
	672	1812	0.48	NO
	72	1438	0.55	NO
	1429	1663	0.60	NO
	289	1411	0.54	NO
	1259	235	0.53	NO
	1726	356	0.60	NO
	1208	1692	0.53	NO
	462	1245	0.60	NO
	92	1169	0.53	NO
	694	1305	0.48	NO
	1612	899	0.64	NO
	242	919	0.45	NO
	220	976	0.65	NO
	1426	1732	0.59	NO
	1704	131	0.52	NO
	1256	1332	0.54	NO
	63	1002	0.55	NO
	1640	561	0.56	NO
	1249	1805	0.55	NO
	51	639	0.50	NO
	1178	1794	0.57	NO
	1131	1104	0.54	NO
	153	69	0.54	NO
	1388	1605	0.44	NO
	471	1591	0.58	NO
	1579	641	0.49	NO
	1796	176	0.58	NO
	551	1816	0.59	NO
	91	1220	0.56	NO
	1716	1318	0.57	NO
	791	1574	0.45	NO
	1185	67	0.44	NO
	1695	1223	0.53	NO
	1089	1300	0.54	NO
	901	861	0.54	NO
	1599	369	0.49	NO
	1303	827	0.54	NO
	1719	793	0.56	NO
	1533	1520	0.53	NO
	1378	488	0.52	NO
	27	1135	0.52	NO
	1751	359	0.57	NO
	338	1201	0.46	NO
	1845	1498	0.63	NO
	51	1395	0.59	NO
	1070	256	0.54	NO
	1188	1850	0.60	NO
	583	733	0.58	NO
	36	1640	0.60	NO
	1101	1714	0.60	NO
	530	1558	0.58	NO
	1729	1456	0.43	NO
	456	1050	0.54	NO
	1242	850	0.60	NO
	1751	1325	0.58	NO
	182	1166	0.47	NO
	1265	1075	0.60	NO
	938	1705	0.58	NO
	785	245	0.62	NO
	1838	268	0.52	NO
	765	1222	0.56	NO
	1504	1622	0.53	NO
	1703	989	0.54	NO
	926	886	0.63	NO
	1509	1297	0.50	NO
	1196	1559	0.52	NO
	1551	1122	0.60	NO
	1297	1111	0.59	NO
	927	1076	0.56	NO
	841	657	0.51	NO
	462	561	0.57	NO
	754	1525	0.46	NO
	138	130	0.53	NO
	1036	1349	0.51	NO
	252	1082	0.57	NO
	705	778	0.53	NO
	710	766	0.52	NO
	1127	504	0.52	NO
	1451	1074	0.49	NO
	752	1187	0.51	NO
	823	591	0.40	NO
	615	66	0.54	NO
	932	1193	0.52	NO
	1393	1637	0.41	NO
	649	471	0.57	NO
	485	1798	0.51	NO
	444	838	0.50	NO
	1433	253	0.52	NO
	1418	557	0.56	NO
	1192	933	0.56	NO
	475	15	0.52	NO
	1435	1652	0.58	NO
	865	945	0.49	NO
	1592	1142	0.47	NO
	1069	870	0.48	NO
	1231	1291	0.50	NO
	989	122	0.51	NO
	905	43	0.52	NO
	550	535	0.58	NO
	59	662	0.43	NO
	454	240	0.54	NO
	672	1842	0.57	NO
	1530	598	0.43	NO
	1207	1604	0.52	NO
	1748	1538	0.60	NO
	407	548	0.55	NO
	814	1278	0.53	NO
	950	1563	0.52	NO
	656	712	0.47	NO
	1165	782	0.51	NO
	577	1073	0.51	NO
	453	1509	0.49	NO
	705	302	0.44	NO
	866	29	0.50	NO
	1482	845	0.56	NO
	475	387	0.56	NO
	1079	232	0.58	NO
	692	342	0.52	NO
	1722	82	0.51	NO
	1368	1809	0.58	NO
	1673	1421	0.56	NO
	1273	1195	0.57	NO
	687	1504	0.61	NO
	723	1103	0.54	NO
	879	702	0.52	NO
	705	548	0.54	NO
	371	473	0.56	NO
	1414	1477	0.51	NO
	351	24	0.47	NO
	1475	1678	0.60	NO
	1409	1123	0.48	NO
	1655	697	0.49	NO
	216	187	0.65	NO
	1830	1493	0.59	NO
	1719	43	0.58	NO
	1311	1759	0.50	NO
	660	233	0.50	NO
	1483	1173	0.60	NO
	1248	1700	0.56	NO
	40	1012	0.50	NO
	440	1389	0.57	NO
	398	920	0.49	NO
	1782	507	0.51	NO
	1658	864	0.52	NO
	1269	1201	0.47	NO
	1777	1313	0.51	NO
	277	1380	0.51	NO
	947	677	0.50	NO
	1071	80	0.54	NO
	1636	1094	0.48	NO
	1398	1276	0.57	NO
	405	623	0.61	NO
	1392	345	0.61	NO
	47	1673	0.51	NO
	760	1849	0.53	NO
	676	623	0.57	NO
	822	1537	0.61	NO
	1754	525	0.60	NO
	1283	1695	0.54	NO
	740	1325	0.56	NO
	1698	1802	0.48	NO
	1321	574	0.53	NO
	633	530	0.55	NO
	1325	1654	0.55	NO
	1200	1775	0.47	NO
	1635	438	0.52	NO
	1148	1772	0.56	NO
	1552	302	0.44	NO
	793	381	0.51	NO
	728	339	0.50	NO
	677	1308	0.58	NO
	1721	545	0.55	NO
	1524	20	0.52	NO
	1011	546	0.49	NO
	265	1489	0.53	NO
	358	587	0.57	NO
	1580	328	0.51	NO
	1240	457	0.55	NO
	724	377	0.49	NO
	1597	1610	0.56	NO
	1147	510	0.58	NO
	537	814	0.62	NO
	803	1698	0.53	NO
	895	80	0.58	NO
	126	350	0.52	NO
	1271	1470	0.47	NO
	502	1065	0.46	NO
	853	200	0.58	NO
	1691	1250	0.39	NO
	485	600	0.56	NO
	1580	1809	0.54	NO
	925	125	0.50	NO
	124	957	0.43	NO
	908	1613	0.57	NO
	945	1394	0.55	NO
	780	1607	0.50	NO
	1062	1850	0.47	NO
	127	187	0.62	NO
	11	954	0.47	NO
	1232	550	0.53	NO
	143	237	0.45	NO
	649	1133	0.54	NO
	51	295	0.55	NO
	303	1792	0.54	NO
	799	337	0.60	NO
	1671	817	0.48	NO
	1034	677	0.50	NO
	1499	29	0.52	NO
	798	1545	0.53	NO
	737	860	0.55	NO
	362	1128	0.52	NO
	1143	1074	0.51	NO
	599	1445	0.49	NO
	1524	1056	0.49	NO
	363	399	0.55	NO
	30	671	0.57	NO
	388	924	0.55	NO
	1605	1557	0.56	NO
	1499	1107	0.54	NO
	1038	810	0.51	NO
	6	1163	0.53	NO
	769	355	0.57	NO
	130	1381	0.57	NO
	443	397	0.51	NO
	1533	847	0.47	NO
	45	428	0.49	NO
	1440	1030	0.55	NO
	65	169	0.60	NO
	1624	1647	0.52	NO
	1185	1590	0.56	NO
	909	368	0.54	NO
	0	786	0.44	NO
	313	1468	0.53	NO
	1374	1145	0.47	NO
	1444	366	0.54	NO
	1199	151	0.49	NO
	387	412	0.61	NO
	384	192	0.54	NO
	1136	547	0.47	NO
	685	220	0.63	NO
	1047	1265	0.48	NO
	303	1011	0.56	NO
	539	1575	0.59	NO
	446	823	0.51	NO
	982	330	0.56	NO
	3	411	0.54	NO
	1361	1643	0.47	NO
	1732	125	0.58	NO
	962	1827	0.58	NO
	495	993	0.65	NO
	503	444	0.49	NO
	481	762	0.48	NO
	136	1816	0.53	NO
	681	1028	0.57	NO
	457	59	0.55	NO
	565	1608	0.55	NO
	501	644	0.49	NO
	1373	506	0.58	NO
	761	697	0.53	NO
	503	1634	0.56	NO
	1001	558	0.53	NO
	870	746	0.50	NO
	1152	1323	0.45	NO
	892	147	0.55	NO
	566	314	0.50	NO
	1535	189	0.55	NO
	321	984	0.58	NO
	400	158	0.49	NO
	538	1104	0.58	NO
	1382	901	0.53	NO
	109	1558	0.58	NO
	1412	1398	0.57	NO
	13	1086	0.55	NO
	1377	845	0.50	NO
	450	803	0.52	NO
	59	323	0.47	NO
	705	566	0.55	NO
	1651	1165	0.54	NO
	1347	1167	0.53	NO
	601	192	0.51	NO
	956	1318	0.55	NO
	289	1398	0.47	NO
	638	162	0.59	NO
	1412	870	0.43	NO
	150	1552	0.52	NO
	942	1401	0.57	NO
	803	1169	0.47	NO
	664	145	0.54	NO
	1673	625	0.49	NO
	1526	1386	0.56	NO
	1668	609	0.55	NO
	154	396	0.47	NO
	1479	320	0.55	NO
	1184	154	0.54	NO
	538	903	0.52	NO
	0	473	0.55	NO
	595	211	0.49	NO
	1202	878	0.50	NO
	1515	741	0.47	NO
	399	1385	0.52	NO
	1010	1570	0.51	NO
	736	39	0.49	NO
	67	751	0.50	NO
	1044	1580	0.55	NO
	313	715	0.56	NO
	1101	1151	0.44	NO
	1036	1074	0.47	NO
	1041	653	0.59	NO
	1789	1466	0.47	NO
	257	863	0.55	NO
	338	332	0.59	NO
	367	1265	0.52	NO
	988	1119	0.53	NO
	943	204	0.61	NO
	708	1245	0.59	NO
	1325	1198	0.49	NO
	1304	1025	0.57	NO
	750	1846	0.45	NO
	547	1781	0.51	NO
	449	680	0.50	NO
	1088	473	0.53	NO
	1299	1630	0.52	NO
	1218	679	0.45	NO
	1254	661	0.48	NO
	1713	828	0.50	NO
	95	1384	0.55	NO
	1166	332	0.62	NO
	694	144	0.60	NO
	1327	1295	0.52	NO
	980	1160	0.50	NO
	555	1797	0.56	NO
	917	1852	0.52	NO
	937	1821	0.47	NO
	1777	631	0.46	NO
	1300	648	0.58	NO
	1530	1536	0.55	NO
	340	697	0.50	NO
	960	989	0.52	NO
	1271	1742	0.57	NO
	744	39	0.52	NO
	1596	938	0.45	NO
	947	1476	0.50	NO
	1141	487	0.51	NO
	1479	763	0.55	NO
	1122	1567	0.50	NO
	305	1511	0.57	NO
	446	836	0.48	NO
	1389	1746	0.58	NO
	979	1188	0.48	NO
	650	410	0.55	NO
	15	1479	0.57	NO
	761	313	0.58	NO
	56	83	0.47	NO
	920	1459	0.49	NO
	1561	1838	0.55	NO
	1712	1012	0.59	NO
	1686	1805	0.57	NO
	1102	340	0.45	NO
	616	1124	0.54	NO
	1468	1717	0.46	NO
	1333	1083	0.55	NO
	237	1445	0.49	NO
	399	1099	0.55	NO
	157	860	0.54	NO
	1530	547	0.44	NO
	641	1376	0.50	NO
	718	440	0.55	NO
	552	1774	0.51	NO
	1334	1838	0.54	NO
	540	720	0.51	NO
	72	1152	0.41	NO
	1442	554	0.56	NO
	1545	1610	0.53	NO
	1084	1695	0.48	NO
	670	1654	0.59	NO
	1239	1056	0.46	NO
	677	726	0.52	NO
	1680	810	0.51	NO
	1385	1822	0.46	NO
	75	1585	0.44	NO
	657	1606	0.56	NO
	1284	695	0.52	NO
	722	1444	0.46	NO
	1419	1634	0.63	NO
	1802	778	0.44	NO
	34	1497	0.55	NO
	152	945	0.56	NO
	124	1240	0.48	NO
	1541	1814	0.48	NO
	474	1039	0.61	NO
	1788	676	0.43	NO
	561	928	0.53	NO
	343	819	0.48	NO
	776	518	0.48	NO
	664	43	0.52	NO
	1567	161	0.52	NO
	1645	1119	0.56	NO
	564	901	0.49	NO
	1652	637	0.52	NO
	1006	1594	0.51	NO
	732	261	0.54	NO
	62	1559	0.52	NO
	1417	969	0.54	NO
	1820	1011	0.58	NO
	695	58	0.58	NO
	433	657	0.52	NO
	941	782	0.53	NO
	516	193	0.54	NO
	995	1365	0.50	NO
	666	1090	0.59	NO
	489	941	0.61	NO
	599	884	0.53	NO
	179	229	0.51	NO
	252	1690	0.48	NO
	172	11	0.55	NO
	1035	1379	0.53	NO
	5	1017	0.53	NO
	53	776	0.61	NO
	519	1617	0.52	NO
	979	1808	0.55	NO
	1789	804	0.52	NO
	36	1568	0.62	NO
	1043	1231	0.56	NO
	1250	973	0.54	NO
	1044	191	0.58	NO
	1289	1414	0.49	NO
	1274	663	0.61	NO
	3	244	0.54	NO
	229	444	0.55	NO
	1486	850	0.55	NO
	1260	1618	0.55	NO
	813	1814	0.54	NO
	1130	1799	0.59	NO
	281	161	0.51	NO
	1756	1190	0.54	NO
	139	1465	0.45	NO
	108	906	0.49	NO
	234	723	0.56	NO
	280	166	0.56	NO
	1138	341	0.49	NO
	174	241	0.56	NO
	882	1420	0.51	NO
	122	1099	0.50	NO
	1084	387	0.57	NO
	254	1838	0.51	NO
	1123	2	0.56	NO
	523	348	0.58	NO
	1331	853	0.60	NO
	1692	1491	0.50	NO
	1805	344	0.59	NO
	1368	714	0.52	NO
	538	887	0.47	NO
	707	561	0.60	NO
	882	14	0.59	NO
	1614	1340	0.55	NO
	1011	132	0.61	NO
	1598	848	0.51	NO
	1599	848	0.53	NO
	565	824	0.60	NO
	1249	1326	0.49	NO
	1190	697	0.48	NO
	836	817	0.50	NO
	1257	1169	0.60	NO
	778	1339	0.52	NO
	1598	449	0.58	NO
	1444	1019	0.55	NO
	1527	899	0.61	NO
	1323	332	0.59	NO
	68	1723	0.54	NO
	1819	1304	0.51	NO
	1242	936	0.54	NO
	543	1115	0.59	NO
	232	1163	0.58	NO
	868	935	0.59	NO
	1185	1578	0.49	NO
	1617	935	0.56	NO
	327	1557	0.62	NO
	1493	522	0.56	NO
	1438	8	0.54	NO
	1803	1788	0.56	NO
	43	1147	0.59	NO
	536	1835	0.50	NO
	36	678	0.59	NO
	440	446	0.60	NO
	565	1512	0.57	NO
	1221	885	0.56	NO
	505	256	0.50	NO
	1625	1438	0.44	NO
	1635	1441	0.59	NO
	387	1379	0.55	NO
	492	1593	0.59	NO
	589	1286	0.48	NO
	90	1732	0.56	NO
	141	595	0.53	NO
	239	544	0.44	NO
	1328	1438	0.58	NO
	579	673	0.51	NO
	1095	1695	0.45	NO
	1246	881	0.46	NO
	254	1574	0.59	NO
	297	1752	0.45	NO
	135	728	0.60	NO
	1344	1206	0.58	NO
	322	1846	0.50	NO
	1636	1848	0.47	NO
	615	35	0.57	NO
	1723	762	0.51	NO
	273	1330	0.47	NO
	571	1009	0.55	NO
	321	1582	0.54	NO
	1502	858	0.58	NO
	1598	495	0.52	NO
	1739	799	0.54	NO
	1593	451	0.45	NO
	1560	1158	0.48	NO
	1780	1042	0.56	NO
	698	123	0.47	NO
	732	1466	0.50	NO
	409	1766	0.53	NO
	1373	531	0.59	NO
	1834	724	0.44	NO
	1025	172	0.54	NO
	884	1389	0.58	NO
	969	1555	0.57	NO
	260	786	0.58	NO
	361	380	0.49	NO
	1144	1549	0.60	NO
	612	1767	0.62	NO
	1009	880	0.53	NO
	276	118	0.50	NO
	332	56	0.56	NO
	273	1074	0.50	NO
	474	1841	0.51	NO
	630	397	0.54	NO
	646	1485	0.51	NO
	1003	887	0.47	NO
	699	597	0.55	NO
	1389	268	0.52	NO
	1059	567	0.54	NO
	108	1338	0.48	NO
	912	769	0.53	NO
	1664	1564	0.58	NO
	1207	468	0.55	NO
	1037	1076	0.46	NO
	70	1016	0.52	NO
	1152	690	0.51	NO
	1468	793	0.52	NO
	697	1280	0.47	NO
	345	1071	0.52	NO
	1429	100	0.56	NO
	604	189	0.59	NO
	1313	50	0.42	NO
	1001	557	0.59	NO
	86	774	0.48	NO
	46	232	0.48	NO
	1256	817	0.51	NO
	1345	612	0.59	NO
	57	78	0.61	NO
	482	1748	0.48	NO
	1815	701	0.47	NO
	975	1534	0.50	NO
	1846	982	0.54	NO
	1663	269	0.53	NO
	739	595	0.57	NO
	228	757	0.50	NO
	1401	1481	0.52	NO
	835	1285	0.46	NO
	1376	672	0.53	NO
	245	643	0.49	NO
	1196	608	0.53	NO
	1514	1172	0.53	NO
	1039	712	0.59	NO
	112	772	0.56	NO
	38	845	0.52	NO
	352	1001	0.58	NO
	1096	1665	0.55	NO
	1305	1177	0.52	NO
	1427	495	0.47	NO
	358	1749	0.43	NO
	2	1121	0.51	NO
	1001	1377	0.47	NO
	1044	29	0.54	NO
	537	201	0.51	NO
	617	363	0.51	NO
	1487	928	0.50	NO
	1621	1700	0.49	NO
	1573	124	0.56	NO
	1410	1529	0.62	NO
	150	484	0.53	NO
	1395	1387	0.57	NO
	1835	858	0.58	NO
	1030	970	0.52	NO
	980	1281	0.49	NO
	1686	1067	0.51	NO
	335	1828	0.59	NO
	642	1640	0.57	NO
	1197	1240	0.52	NO
	779	103	0.43	NO
	1562	1463	0.52	NO
	1802	119	0.46	NO
	4	1546	0.58	NO
	1488	789	0.45	NO
	925	1078	0.51	NO
	539	1562	0.55	NO
	1557	189	0.52	NO
	296	1236	0.46	NO
	975	562	0.46	NO
	556	1288	0.47	NO
	317	409	0.54	NO
	157	199	0.52	NO
	1836	1664	0.60	NO
	1200	721	0.53	NO
	1039	610	0.60	NO
	1774	1692	0.46	NO
	824	665	0.57	NO
	770	1344	0.61	NO
	1231	221	0.51	NO
	413	1028	0.58	NO
	1200	601	0.52	NO
	1100	16	0.45	NO
	239	1762	0.50	NO
	671	1051	0.55	NO
	1797	1721	0.54	NO
	1169	387	0.57	NO
	1504	501	0.47	NO
	913	1294	0.64	NO
	827	547	0.45	NO
	411	1435	0.51	NO
	137	1246	0.60	NO
	1733	648	0.54	NO
	1608	692	0.62	NO
	908	468	0.53	NO
	486	1145	0.55	NO
	206	90	0.58	NO
	520	160	0.55	NO
	1522	1003	0.57	NO
	688	1008	0.51	NO
	1750	894	0.49	NO
	1691	913	0.53	NO
	1746	15	0.56	NO
	4	128	0.54	NO
	783	853	0.69	NO
	1612	783	0.56	NO
	480	1471	0.46	NO
	1651	365	0.54	NO
	838	1832	0.47	NO
	1576	550	0.50	NO
	440	95	0.57	NO
	668	1786	0.55	NO
	374	325	0.50	NO
	1670	1766	0.51	NO
	1075	857	0.50	NO
	528	23	0.56	NO
	1274	451	0.51	NO
	52	457	0.59	NO
	1277	555	0.50	NO
	1134	1304	0.53	NO
	1344	1554	0.51	NO
	1006	37	0.55	NO
	129	274	0.59	NO
	426	324	0.50	NO
	799	1002	0.57	NO
	789	29	0.63	NO
	870	1163	0.53	NO
	82	1020	0.56	NO
	1333	767	0.53	NO
	555	1802	0.48	NO
	1285	484	0.50	NO
	1628	678	0.56	NO
	301	416	0.59	NO
	1411	1475	0.58	NO
	1018	1068	0.44	NO
	1463	1452	0.54	NO
	1025	1431	0.53	NO
	181	42	0.63	NO
	1565	1543	0.52	NO
	774	1263	0.45	NO
	767	43	0.51	NO
	1418	641	0.49	NO
	269	270	0.50	NO
	1141	578	0.54	NO
	1430	565	0.54	NO
	1293	1209	0.58	NO
	1321	598	0.44	NO
	999	59	0.59	NO
	1715	1467	0.41	NO
	1683	680	0.47	NO
	970	724	0.45	NO
	963	1364	0.58	NO
	718	1580	0.53	NO
	704	875	0.64	NO
	1254	1513	0.50	NO
	1824	1563	0.51	NO
	122	699	0.56	NO
	1730	1567	0.48	NO
	72	652	0.51	NO
	582	1138	0.56	NO
	1509	220	0.53	NO
	373	1312	0.52	NO
	267	1820	0.50	NO
	1197	1020	0.55	NO
	48	600	0.52	NO
	973	745	0.53	NO
	1543	127	0.55	NO
	623	608	0.61	NO
	1196	1470	0.51	NO
	1417	1805	0.57	NO
	68	313	0.54	NO
	688	14	0.52	NO
	1462	994	0.51	NO
	437	1325	0.60	NO
	1117	1612	0.51	NO
	31	838	0.48	NO
	768	697	0.53	NO
	352	1254	0.57	NO
	984	481	0.60	NO
	1295	1706	0.50	NO
	1553	1829	0.58	NO
	1447	72	0.55	NO
	930	190	0.51	NO
	1107	1149	0.56	NO
	1762	448	0.53	NO
	1097	247	0.54	NO
	1331	1701	0.61	NO
	1369	1328	0.45	NO
	109	659	0.49	NO
	190	953	0.54	NO
	1618	914	0.51	NO
	1112	182	0.55	NO
	1378	1799	0.55	NO
	1140	1510	0.57	NO
	1343	1135	0.47	NO
	1773	695	0.49	NO
	1266	1459	0.50	NO
	190	1278	0.50	NO
	648	142	0.52	NO
	999	1832	0.51	NO
	783	104	0.64	NO
	1400	1234	0.56	NO
	1719	613	0.54	NO
	92	1150	0.58	NO
	818	1827	0.50	NO
	1437	450	0.57	NO
	1541	885	0.53	NO
	446	20	0.55	NO
	122	241	0.47	NO
	286	1371	0.56	NO
	1538	81	0.54	NO
	734	798	0.57	NO
	144	325	0.53	NO
	480	372	0.63	NO
	615	1346	0.67	NO
	185	1399	0.57	NO
	1776	276	0.53	NO
	566	1194	0.62	NO
	1396	457	0.54	NO
	1641	1508	0.46	NO
	525	320	0.51	NO
	1848	1838	0.52	NO
	1447	1192	0.53	NO
	368	87	0.58	NO
