Size:1853	TP:1299	FN:554	Accuracy:70.1%
Least:697	0.47
Most:1099	0.90
200	0.79	YES
201	0.72	YES
202	0.64	NO
203	0.86	YES
204	0.78	YES
205	0.74	YES
206	0.70	NO
207	0.61	NO
208	0.71	YES
209	0.76	YES
210	0.72	YES
211	0.67	NO
212	0.79	YES
213	0.83	YES
214	0.59	NO
215	0.69	NO
216	0.75	YES
217	0.85	YES
218	0.77	YES
219	0.75	YES
220	0.79	YES
221	0.79	YES
222	0.80	YES
223	0.68	NO
224	0.72	YES
225	0.77	YES
226	0.79	YES
227	0.77	YES
228	0.82	YES
229	0.77	YES
230	0.73	YES
231	0.78	YES
232	0.66	NO
233	0.70	YES
234	0.84	YES
235	0.62	NO
236	0.74	YES
237	0.74	YES
238	0.71	YES
239	0.80	YES
240	0.67	NO
241	0.74	YES
242	0.74	YES
243	0.76	YES
244	0.77	YES
245	0.74	YES
246	0.71	YES
247	0.57	NO
248	0.79	YES
249	0.78	YES
250	0.81	YES
251	0.72	YES
252	0.72	YES
253	0.75	YES
254	0.86	YES
255	0.66	NO
256	0.64	NO
257	0.60	NO
258	0.82	YES
259	0.79	YES
260	0.74	YES
261	0.80	YES
262	0.69	NO
263	0.72	YES
264	0.75	YES
265	0.75	YES
266	0.69	NO
267	0.70	YES
268	0.74	YES
269	0.75	YES
270	0.73	YES
271	0.56	NO
272	0.75	YES
273	0.59	NO
274	0.74	YES
275	0.66	NO
276	0.77	YES
277	0.73	YES
278	0.76	YES
279	0.83	YES
280	0.82	YES
281	0.77	YES
282	0.66	NO
283	0.76	YES
284	0.84	YES
285	0.87	YES
286	0.66	NO
287	0.76	YES
288	0.70	YES
289	0.82	YES
290	0.74	YES
291	0.81	YES
292	0.65	NO
293	0.61	NO
294	0.77	YES
295	0.73	YES
296	0.71	YES
297	0.70	YES
298	0.74	YES
299	0.67	NO
300	0.72	YES
301	0.79	YES
302	0.71	YES
303	0.56	NO
304	0.71	YES
305	0.79	YES
306	0.82	YES
307	0.74	YES
308	0.70	NO
309	0.70	NO
310	0.83	YES
311	0.68	NO
312	0.71	YES
313	0.73	YES
314	0.80	YES
315	0.76	YES
316	0.78	YES
317	0.74	YES
318	0.79	YES
319	0.73	YES
320	0.84	YES
321	0.67	NO
322	0.73	YES
323	0.66	NO
324	0.69	NO
325	0.72	YES
326	0.68	NO
327	0.81	YES
328	0.58	NO
329	0.72	YES
330	0.67	NO
331	0.73	YES
332	0.74	YES
333	0.68	NO
334	0.71	YES
335	0.73	YES
336	0.78	YES
337	0.71	YES
338	0.70	NO
339	0.76	YES
340	0.65	NO
341	0.63	NO
342	0.83	YES
343	0.81	YES
344	0.73	YES
345	0.83	YES
346	0.75	YES
347	0.70	YES
348	0.68	NO
349	0.80	YES
350	0.76	YES
351	0.77	YES
352	0.89	YES
353	0.89	YES
354	0.61	NO
355	0.70	YES
356	0.73	YES
357	0.73	YES
358	0.84	YES
359	0.83	YES
360	0.70	NO
361	0.59	NO
362	0.77	YES
363	0.87	YES
364	0.72	YES
365	0.81	YES
366	0.75	YES
367	0.72	YES
368	0.74	YES
369	0.71	YES
370	0.62	NO
371	0.80	YES
372	0.84	YES
373	0.75	YES
374	0.74	YES
375	0.71	YES
376	0.69	NO
377	0.62	NO
378	0.70	NO
379	0.66	NO
380	0.83	YES
381	0.70	NO
382	0.73	YES
383	0.74	YES
384	0.73	YES
385	0.73	YES
386	0.77	YES
387	0.79	YES
388	0.71	YES
389	0.74	YES
390	0.65	NO
391	0.71	YES
392	0.69	NO
393	0.89	YES
394	0.67	NO
395	0.69	NO
396	0.81	YES
397	0.81	YES
398	0.63	NO
399	0.70	YES
400	0.65	NO
401	0.76	YES
402	0.66	NO
403	0.78	YES
404	0.82	YES
405	0.70	YES
406	0.78	YES
407	0.68	NO
408	0.76	YES
409	0.66	NO
410	0.65	NO
411	0.66	NO
412	0.74	YES
413	0.80	YES
414	0.86	YES
415	0.68	NO
416	0.75	YES
417	0.72	YES
418	0.80	YES
419	0.76	YES
420	0.72	YES
421	0.76	YES
422	0.71	YES
423	0.79	YES
424	0.57	NO
425	0.70	YES
426	0.81	YES
427	0.83	YES
428	0.75	YES
429	0.68	NO
430	0.74	YES
431	0.66	NO
432	0.76	YES
433	0.79	YES
434	0.76	YES
435	0.73	YES
436	0.79	YES
437	0.60	NO
438	0.82	YES
439	0.81	YES
440	0.66	NO
441	0.75	YES
442	0.87	YES
443	0.74	YES
444	0.77	YES
445	0.77	YES
446	0.79	YES
447	0.70	YES
448	0.68	NO
449	0.69	NO
450	0.71	YES
451	0.73	YES
452	0.69	NO
453	0.70	NO
454	0.66	NO
455	0.80	YES
456	0.68	NO
457	0.70	YES
458	0.84	YES
459	0.77	YES
460	0.72	YES
461	0.72	YES
462	0.70	NO
463	0.75	YES
464	0.61	NO
465	0.75	YES
466	0.63	NO
467	0.72	YES
468	0.71	YES
469	0.75	YES
470	0.71	YES
471	0.71	YES
472	0.78	YES
473	0.83	YES
474	0.87	YES
475	0.76	YES
476	0.68	NO
477	0.82	YES
478	0.81	YES
479	0.69	NO
480	0.82	YES
481	0.74	YES
482	0.79	YES
483	0.77	YES
484	0.73	YES
485	0.79	YES
486	0.79	YES
487	0.73	YES
488	0.69	NO
489	0.73	YES
490	0.70	NO
491	0.72	YES
492	0.62	NO
493	0.84	YES
494	0.65	NO
495	0.81	YES
496	0.75	YES
497	0.75	YES
498	0.70	NO
499	0.67	NO
500	0.63	NO
501	0.82	YES
502	0.73	YES
503	0.65	NO
504	0.80	YES
505	0.70	YES
506	0.75	YES
507	0.70	YES
508	0.72	YES
509	0.84	YES
510	0.76	YES
511	0.74	YES
512	0.67	NO
513	0.74	YES
514	0.73	YES
515	0.56	NO
516	0.86	YES
517	0.72	YES
518	0.56	NO
519	0.65	NO
520	0.64	NO
521	0.74	YES
522	0.76	YES
523	0.69	NO
524	0.73	YES
525	0.76	YES
526	0.73	YES
527	0.57	NO
528	0.72	YES
529	0.68	NO
530	0.64	NO
531	0.78	YES
532	0.75	YES
533	0.67	NO
534	0.77	YES
535	0.79	YES
536	0.86	YES
537	0.80	YES
538	0.79	YES
539	0.76	YES
540	0.66	NO
541	0.83	YES
542	0.72	YES
543	0.71	YES
544	0.61	NO
545	0.72	YES
546	0.71	YES
547	0.77	YES
548	0.80	YES
549	0.79	YES
550	0.69	NO
551	0.76	YES
552	0.72	YES
553	0.67	NO
554	0.78	YES
555	0.63	NO
556	0.72	YES
557	0.75	YES
558	0.79	YES
559	0.67	NO
560	0.80	YES
561	0.69	NO
562	0.81	YES
563	0.73	YES
564	0.55	NO
565	0.69	NO
566	0.79	YES
567	0.81	YES
568	0.63	NO
569	0.76	YES
570	0.76	YES
571	0.64	NO
572	0.80	YES
573	0.61	NO
574	0.74	YES
575	0.82	YES
576	0.80	YES
577	0.59	NO
578	0.65	NO
579	0.74	YES
580	0.79	YES
581	0.67	NO
582	0.76	YES
583	0.64	NO
584	0.66	NO
585	0.62	NO
586	0.72	YES
587	0.82	YES
588	0.81	YES
589	0.72	YES
590	0.71	YES
591	0.81	YES
592	0.83	YES
593	0.79	YES
594	0.79	YES
595	0.73	YES
596	0.88	YES
597	0.67	NO
598	0.68	NO
599	0.64	NO
600	0.74	YES
601	0.63	NO
602	0.67	NO
603	0.67	NO
604	0.77	YES
605	0.73	YES
606	0.69	NO
607	0.70	NO
608	0.78	YES
609	0.73	YES
610	0.75	YES
611	0.75	YES
612	0.74	YES
613	0.66	NO
614	0.75	YES
615	0.73	YES
616	0.65	NO
617	0.78	YES
618	0.78	YES
619	0.78	YES
620	0.64	NO
621	0.74	YES
622	0.67	NO
623	0.72	YES
624	0.70	YES
625	0.67	NO
626	0.82	YES
627	0.75	YES
628	0.76	YES
629	0.74	YES
630	0.66	NO
631	0.75	YES
632	0.72	YES
633	0.78	YES
634	0.81	YES
635	0.76	YES
636	0.80	YES
637	0.70	NO
638	0.59	NO
639	0.59	NO
640	0.72	YES
641	0.84	YES
642	0.68	NO
643	0.82	YES
644	0.88	YES
645	0.83	YES
646	0.76	YES
647	0.75	YES
648	0.70	YES
649	0.67	NO
650	0.78	YES
651	0.61	NO
652	0.66	NO
653	0.60	NO
654	0.69	NO
655	0.75	YES
656	0.69	NO
657	0.71	YES
658	0.82	YES
659	0.64	NO
660	0.79	YES
661	0.70	NO
662	0.74	YES
663	0.82	YES
664	0.68	NO
665	0.81	YES
666	0.75	YES
667	0.87	YES
668	0.78	YES
669	0.72	YES
670	0.82	YES
671	0.63	NO
672	0.71	YES
673	0.66	NO
674	0.78	YES
675	0.74	YES
676	0.69	NO
677	0.63	NO
678	0.81	YES
679	0.57	NO
680	0.72	YES
681	0.76	YES
682	0.72	YES
683	0.79	YES
684	0.71	YES
685	0.80	YES
686	0.86	YES
687	0.65	NO
688	0.66	NO
689	0.70	YES
690	0.78	YES
691	0.71	YES
692	0.80	YES
693	0.71	YES
694	0.76	YES
695	0.67	NO
696	0.69	NO
697	0.47	NO
698	0.75	YES
699	0.66	NO
700	0.85	YES
701	0.73	YES
702	0.68	NO
703	0.75	YES
704	0.76	YES
705	0.56	NO
706	0.66	NO
707	0.83	YES
708	0.84	YES
709	0.76	YES
710	0.75	YES
711	0.80	YES
712	0.85	YES
713	0.71	YES
714	0.87	YES
715	0.63	NO
716	0.80	YES
717	0.73	YES
718	0.78	YES
719	0.76	YES
720	0.73	YES
721	0.68	NO
722	0.71	YES
723	0.68	NO
724	0.69	NO
725	0.74	YES
726	0.79	YES
727	0.73	YES
728	0.73	YES
729	0.65	NO
730	0.78	YES
731	0.70	NO
732	0.67	NO
733	0.78	YES
734	0.68	NO
735	0.74	YES
736	0.69	NO
737	0.63	NO
738	0.71	YES
739	0.61	NO
740	0.69	NO
741	0.74	YES
742	0.75	YES
743	0.67	NO
744	0.67	NO
745	0.73	YES
746	0.75	YES
747	0.80	YES
748	0.77	YES
749	0.70	YES
750	0.67	NO
751	0.70	YES
752	0.81	YES
753	0.62	NO
754	0.71	YES
755	0.72	YES
756	0.82	YES
757	0.81	YES
758	0.76	YES
759	0.59	NO
760	0.63	NO
761	0.75	YES
762	0.71	YES
763	0.77	YES
764	0.74	YES
765	0.80	YES
766	0.67	NO
767	0.81	YES
768	0.72	YES
769	0.73	YES
770	0.78	YES
771	0.83	YES
772	0.81	YES
773	0.84	YES
774	0.80	YES
775	0.65	NO
776	0.78	YES
777	0.76	YES
778	0.66	NO
779	0.60	NO
780	0.81	YES
781	0.74	YES
782	0.81	YES
783	0.76	YES
784	0.70	NO
785	0.73	YES
786	0.72	YES
787	0.76	YES
788	0.72	YES
789	0.75	YES
790	0.71	YES
791	0.78	YES
792	0.75	YES
793	0.69	NO
794	0.74	YES
795	0.80	YES
796	0.72	YES
797	0.64	NO
798	0.70	YES
799	0.76	YES
800	0.66	NO
801	0.82	YES
802	0.73	YES
803	0.72	YES
804	0.67	NO
805	0.76	YES
806	0.79	YES
807	0.64	NO
808	0.64	NO
809	0.69	NO
810	0.66	NO
811	0.65	NO
812	0.76	YES
813	0.67	NO
814	0.70	NO
815	0.69	NO
816	0.59	NO
817	0.74	YES
818	0.51	NO
819	0.67	NO
820	0.74	YES
821	0.76	YES
822	0.75	YES
823	0.63	NO
824	0.82	YES
825	0.73	YES
826	0.80	YES
827	0.68	NO
828	0.71	YES
829	0.73	YES
830	0.75	YES
831	0.75	YES
832	0.69	NO
833	0.62	NO
834	0.67	NO
835	0.78	YES
836	0.79	YES
837	0.61	NO
838	0.71	YES
839	0.78	YES
840	0.75	YES
841	0.70	YES
842	0.63	NO
843	0.70	YES
844	0.81	YES
845	0.76	YES
846	0.83	YES
847	0.65	NO
848	0.63	NO
849	0.78	YES
850	0.78	YES
851	0.77	YES
852	0.86	YES
853	0.77	YES
854	0.77	YES
855	0.61	NO
856	0.84	YES
857	0.71	YES
858	0.70	NO
859	0.71	YES
860	0.82	YES
861	0.77	YES
862	0.66	NO
863	0.64	NO
864	0.70	YES
865	0.75	YES
866	0.77	YES
867	0.73	YES
868	0.83	YES
869	0.78	YES
870	0.71	YES
871	0.74	YES
872	0.62	NO
873	0.81	YES
874	0.63	NO
875	0.79	YES
876	0.67	NO
877	0.68	NO
878	0.65	NO
879	0.74	YES
880	0.82	YES
881	0.62	NO
882	0.73	YES
883	0.72	YES
884	0.78	YES
885	0.66	NO
886	0.77	YES
887	0.78	YES
888	0.69	NO
889	0.76	YES
890	0.68	NO
891	0.84	YES
892	0.73	YES
893	0.73	YES
894	0.86	YES
895	0.70	YES
896	0.60	NO
897	0.63	NO
898	0.71	YES
899	0.72	YES
900	0.74	YES
901	0.73	YES
902	0.77	YES
903	0.64	NO
904	0.71	YES
905	0.84	YES
906	0.58	NO
907	0.73	YES
908	0.66	NO
909	0.80	YES
910	0.63	NO
911	0.59	NO
912	0.80	YES
913	0.74	YES
914	0.72	YES
915	0.82	YES
916	0.79	YES
917	0.77	YES
918	0.68	NO
919	0.73	YES
920	0.85	YES
921	0.78	YES
922	0.65	NO
923	0.76	YES
924	0.64	NO
925	0.66	NO
926	0.84	YES
927	0.74	YES
928	0.79	YES
929	0.76	YES
930	0.73	YES
931	0.76	YES
932	0.59	NO
933	0.74	YES
934	0.67	NO
935	0.74	YES
936	0.66	NO
937	0.86	YES
938	0.64	NO
939	0.57	NO
940	0.76	YES
941	0.81	YES
942	0.71	YES
943	0.69	NO
944	0.69	NO
945	0.70	NO
946	0.68	NO
947	0.64	NO
948	0.80	YES
949	0.60	NO
950	0.70	YES
951	0.74	YES
952	0.74	YES
953	0.76	YES
954	0.71	YES
955	0.73	YES
956	0.69	NO
957	0.67	NO
958	0.71	YES
959	0.74	YES
960	0.76	YES
961	0.72	YES
962	0.81	YES
963	0.73	YES
964	0.76	YES
965	0.71	YES
966	0.77	YES
967	0.73	YES
968	0.60	NO
969	0.64	NO
970	0.79	YES
971	0.70	NO
972	0.80	YES
973	0.70	YES
974	0.59	NO
975	0.69	NO
976	0.77	YES
977	0.72	YES
978	0.81	YES
979	0.69	NO
980	0.63	NO
981	0.75	YES
982	0.79	YES
983	0.81	YES
984	0.85	YES
985	0.77	YES
986	0.77	YES
987	0.75	YES
988	0.73	YES
989	0.67	NO
990	0.78	YES
991	0.79	YES
992	0.68	NO
993	0.69	NO
994	0.77	YES
995	0.77	YES
996	0.78	YES
997	0.71	YES
998	0.70	YES
999	0.77	YES
1000	0.65	NO
1001	0.72	YES
1002	0.71	YES
1003	0.66	NO
1004	0.71	YES
1005	0.77	YES
1006	0.80	YES
1007	0.70	NO
1008	0.69	NO
1009	0.73	YES
1010	0.70	YES
1011	0.77	YES
1012	0.75	YES
1013	0.67	NO
1014	0.76	YES
1015	0.57	NO
1016	0.63	NO
1017	0.74	YES
1018	0.71	YES
1019	0.75	YES
1020	0.72	YES
1021	0.78	YES
1022	0.79	YES
1023	0.69	NO
1024	0.68	NO
1025	0.79	YES
1026	0.65	NO
1027	0.73	YES
1028	0.73	YES
1029	0.75	YES
1030	0.82	YES
1031	0.74	YES
1032	0.74	YES
1033	0.77	YES
1034	0.71	YES
1035	0.84	YES
1036	0.67	NO
1037	0.68	NO
1038	0.62	NO
1039	0.82	YES
1040	0.81	YES
1041	0.74	YES
1042	0.79	YES
1043	0.74	YES
1044	0.81	YES
1045	0.69	NO
1046	0.76	YES
1047	0.73	YES
1048	0.80	YES
1049	0.71	YES
1050	0.83	YES
1051	0.66	NO
1052	0.62	NO
1053	0.78	YES
1054	0.73	YES
1055	0.78	YES
1056	0.65	NO
1057	0.67	NO
1058	0.80	YES
1059	0.79	YES
1060	0.72	YES
1061	0.87	YES
1062	0.68	NO
1063	0.62	NO
1064	0.65	NO
1065	0.68	NO
1066	0.79	YES
1067	0.67	NO
1068	0.66	NO
1069	0.72	YES
1070	0.78	YES
1071	0.68	NO
1072	0.77	YES
1073	0.71	YES
1074	0.68	NO
1075	0.75	YES
1076	0.64	NO
1077	0.80	YES
1078	0.78	YES
1079	0.76	YES
1080	0.87	YES
1081	0.70	NO
1082	0.70	NO
1083	0.75	YES
1084	0.78	YES
1085	0.61	NO
1086	0.71	YES
1087	0.76	YES
1088	0.80	YES
1089	0.71	YES
1090	0.74	YES
1091	0.82	YES
1092	0.66	NO
1093	0.66	NO
1094	0.77	YES
1095	0.66	NO
1096	0.72	YES
1097	0.75	YES
1098	0.73	YES
1099	0.90	YES
1100	0.80	YES
1101	0.64	NO
1102	0.62	NO
1103	0.79	YES
1104	0.74	YES
1105	0.72	YES
1106	0.72	YES
1107	0.81	YES
1108	0.76	YES
1109	0.67	NO
1110	0.81	YES
1111	0.83	YES
1112	0.74	YES
1113	0.69	NO
1114	0.67	NO
1115	0.81	YES
1116	0.71	YES
1117	0.62	NO
1118	0.63	NO
1119	0.79	YES
1120	0.70	YES
1121	0.59	NO
1122	0.72	YES
1123	0.69	NO
1124	0.71	YES
1125	0.76	YES
1126	0.77	YES
1127	0.76	YES
1128	0.68	NO
1129	0.80	YES
1130	0.79	YES
1131	0.74	YES
1132	0.72	YES
1133	0.70	YES
1134	0.68	NO
1135	0.70	NO
1136	0.73	YES
1137	0.69	NO
1138	0.70	NO
1139	0.67	NO
1140	0.78	YES
1141	0.85	YES
1142	0.75	YES
1143	0.69	NO
1144	0.73	YES
1145	0.71	YES
1146	0.86	YES
1147	0.78	YES
1148	0.81	YES
1149	0.80	YES
1150	0.74	YES
1151	0.78	YES
1152	0.58	NO
1153	0.70	NO
1154	0.81	YES
1155	0.69	NO
1156	0.72	YES
1157	0.77	YES
1158	0.84	YES
1159	0.65	NO
1160	0.65	NO
1161	0.72	YES
1162	0.75	YES
1163	0.81	YES
1164	0.77	YES
1165	0.75	YES
1166	0.73	YES
1167	0.79	YES
1168	0.73	YES
1169	0.69	NO
1170	0.66	NO
1171	0.74	YES
1172	0.81	YES
1173	0.74	YES
1174	0.66	NO
1175	0.75	YES
1176	0.68	NO
1177	0.77	YES
1178	0.78	YES
1179	0.80	YES
1180	0.67	NO
1181	0.73	YES
1182	0.89	YES
1183	0.76	YES
1184	0.78	YES
1185	0.84	YES
1186	0.68	NO
1187	0.61	NO
1188	0.85	YES
1189	0.68	NO
1190	0.82	YES
1191	0.72	YES
1192	0.72	YES
1193	0.83	YES
1194	0.82	YES
1195	0.79	YES
1196	0.64	NO
1197	0.71	YES
1198	0.60	NO
1199	0.82	YES
1200	0.72	YES
1201	0.76	YES
1202	0.70	NO
1203	0.68	NO
1204	0.74	YES
1205	0.76	YES
1206	0.74	YES
1207	0.70	NO
1208	0.79	YES
1209	0.81	YES
1210	0.75	YES
1211	0.83	YES
1212	0.62	NO
1213	0.66	NO
1214	0.60	NO
1215	0.83	YES
1216	0.76	YES
1217	0.74	YES
1218	0.65	NO
1219	0.82	YES
1220	0.85	YES
1221	0.77	YES
1222	0.80	YES
1223	0.82	YES
1224	0.66	NO
1225	0.70	YES
1226	0.71	YES
1227	0.79	YES
1228	0.75	YES
1229	0.76	YES
1230	0.74	YES
1231	0.78	YES
1232	0.70	YES
1233	0.71	YES
1234	0.73	YES
1235	0.76	YES
1236	0.86	YES
1237	0.74	YES
1238	0.75	YES
1239	0.76	YES
1240	0.76	YES
1241	0.70	NO
1242	0.78	YES
1243	0.77	YES
1244	0.75	YES
1245	0.85	YES
1246	0.77	YES
1247	0.82	YES
1248	0.81	YES
1249	0.77	YES
1250	0.80	YES
1251	0.73	YES
1252	0.74	YES
1253	0.77	YES
1254	0.74	YES
1255	0.61	NO
1256	0.64	NO
1257	0.79	YES
1258	0.74	YES
1259	0.72	YES
1260	0.79	YES
1261	0.76	YES
1262	0.71	YES
1263	0.78	YES
1264	0.74	YES
1265	0.64	NO
1266	0.82	YES
1267	0.65	NO
1268	0.75	YES
1269	0.69	NO
1270	0.62	NO
1271	0.80	YES
1272	0.74	YES
1273	0.71	YES
1274	0.76	YES
1275	0.70	YES
1276	0.86	YES
1277	0.73	YES
1278	0.66	NO
1279	0.67	NO
1280	0.66	NO
1281	0.69	NO
1282	0.62	NO
1283	0.71	YES
1284	0.69	NO
1285	0.66	NO
1286	0.70	YES
1287	0.68	NO
1288	0.71	YES
1289	0.72	YES
1290	0.76	YES
1291	0.79	YES
1292	0.55	NO
1293	0.71	YES
1294	0.70	NO
1295	0.75	YES
1296	0.85	YES
1297	0.75	YES
1298	0.65	NO
1299	0.63	NO
1300	0.74	YES
1301	0.60	NO
1302	0.72	YES
1303	0.68	NO
1304	0.77	YES
1305	0.63	NO
1306	0.72	YES
1307	0.62	NO
1308	0.75	YES
1309	0.76	YES
1310	0.75	YES
1311	0.81	YES
1312	0.76	YES
1313	0.83	YES
1314	0.79	YES
1315	0.78	YES
1316	0.71	YES
1317	0.67	NO
1318	0.77	YES
1319	0.64	NO
1320	0.70	YES
1321	0.70	NO
1322	0.73	YES
1323	0.68	NO
1324	0.79	YES
1325	0.84	YES
1326	0.67	NO
1327	0.81	YES
1328	0.70	YES
1329	0.71	YES
1330	0.66	NO
1331	0.66	NO
1332	0.58	NO
1333	0.75	YES
1334	0.78	YES
1335	0.79	YES
1336	0.79	YES
1337	0.76	YES
1338	0.82	YES
1339	0.66	NO
1340	0.78	YES
1341	0.82	YES
1342	0.62	NO
1343	0.82	YES
1344	0.70	YES
1345	0.68	NO
1346	0.86	YES
1347	0.87	YES
1348	0.77	YES
1349	0.70	YES
1350	0.77	YES
1351	0.64	NO
1352	0.72	YES
1353	0.66	NO
1354	0.77	YES
1355	0.77	YES
1356	0.64	NO
1357	0.82	YES
1358	0.83	YES
1359	0.72	YES
1360	0.76	YES
1361	0.60	NO
1362	0.82	YES
1363	0.84	YES
1364	0.81	YES
1365	0.74	YES
1366	0.82	YES
1367	0.68	NO
1368	0.78	YES
1369	0.55	NO
1370	0.81	YES
1371	0.61	NO
1372	0.82	YES
1373	0.63	NO
1374	0.72	YES
1375	0.72	YES
1376	0.72	YES
1377	0.59	NO
1378	0.77	YES
1379	0.65	NO
1380	0.70	NO
1381	0.80	YES
1382	0.68	NO
1383	0.60	NO
1384	0.86	YES
1385	0.77	YES
1386	0.73	YES
1387	0.70	YES
1388	0.65	NO
1389	0.76	YES
1390	0.77	YES
1391	0.71	YES
1392	0.62	NO
1393	0.77	YES
1394	0.74	YES
1395	0.75	YES
1396	0.68	NO
1397	0.63	NO
1398	0.66	NO
1399	0.83	YES
1400	0.89	YES
1401	0.70	YES
1402	0.77	YES
1403	0.66	NO
1404	0.69	NO
1405	0.77	YES
1406	0.74	YES
1407	0.77	YES
1408	0.71	YES
1409	0.80	YES
1410	0.77	YES
1411	0.73	YES
1412	0.77	YES
1413	0.76	YES
1414	0.78	YES
1415	0.69	NO
1416	0.81	YES
1417	0.77	YES
1418	0.84	YES
1419	0.73	YES
1420	0.68	NO
1421	0.76	YES
1422	0.76	YES
1423	0.65	NO
1424	0.83	YES
1425	0.55	NO
1426	0.75	YES
1427	0.77	YES
1428	0.63	NO
1429	0.78	YES
1430	0.72	YES
1431	0.67	NO
1432	0.73	YES
1433	0.74	YES
1434	0.82	YES
1435	0.82	YES
1436	0.85	YES
1437	0.83	YES
1438	0.75	YES
1439	0.84	YES
1440	0.76	YES
1441	0.75	YES
1442	0.73	YES
1443	0.77	YES
1444	0.54	NO
1445	0.81	YES
1446	0.81	YES
1447	0.75	YES
1448	0.81	YES
1449	0.71	YES
1450	0.73	YES
1451	0.77	YES
1452	0.72	YES
1453	0.69	NO
1454	0.72	YES
1455	0.74	YES
1456	0.78	YES
1457	0.72	YES
1458	0.81	YES
1459	0.85	YES
1460	0.77	YES
1461	0.79	YES
1462	0.84	YES
1463	0.81	YES
1464	0.78	YES
1465	0.75	YES
1466	0.67	NO
1467	0.82	YES
1468	0.76	YES
1469	0.75	YES
1470	0.77	YES
1471	0.72	YES
1472	0.72	YES
1473	0.69	NO
1474	0.76	YES
1475	0.83	YES
1476	0.81	YES
1477	0.67	NO
1478	0.69	NO
1479	0.71	YES
1480	0.68	NO
1481	0.80	YES
1482	0.79	YES
1483	0.82	YES
1484	0.87	YES
1485	0.74	YES
1486	0.85	YES
1487	0.72	YES
1488	0.70	YES
